period_id,year,quarter,quarter_start,period_label
8072,2018,1,2018-01-01,2018-Q1
8073,2018,2,2018-04-01,2018-Q2
8074,2018,3,2018-07-01,2018-Q3
8075,2018,4,2018-10-01,2018-Q4
8076,2019,1,2019-01-01,2019-Q1
8077,2019,2,2019-04-01,2019-Q2
8078,2019,3,2019-07-01,2019-Q3
8079,2019,4,2019-10-01,2019-Q4
8080,2020,1,2020-01-01,2020-Q1
8081,2020,2,2020-04-01,2020-Q2
8082,2020,3,2020-07-01,2020-Q3
8083,2020,4,2020-10-01,2020-Q4
8084,2021,1,2021-01-01,2021-Q1
8085,2021,2,2021-04-01,2021-Q2
8086,2021,3,2021-07-01,2021-Q3
8087,2021,4,2021-10-01,2021-Q4
8088,2022,1,2022-01-01,2022-Q1
8089,2022,2,2022-04-01,2022-Q2
8090,2022,3,2022-07-01,2022-Q3
8091,2022,4,2022-10-01,2022-Q4
8092,2023,1,2023-01-01,2023-Q1
8093,2023,2,2023-04-01,2023-Q2
8094,2023,3,2023-07-01,2023-Q3
8095,2023,4,2023-10-01,2023-Q4
8096,2024,1,2024-01-01,2024-Q1
8097,2024,2,2024-04-01,2024-Q2
8098,2024,3,2024-07-01,2024-Q3
8099,2024,4,2024-10-01,2024-Q4
8100,2025,1,2025-01-01,2025-Q1
8101,2025,2,2025-04-01,2025-Q2
8102,2025,3,2025-07-01,2025-Q3
8103,2025,4,2025-10-01,2025-Q4
8104,2026,1,2026-01-01,2026-Q1
8105,2026,2,2026-04-01,2026-Q2
