district_key,period_id,transactions,value_inr,registered_users,registered_merchants,state,district,year,quarter,period_label,quarter_start,prior_period,prior_transactions,prior_users,prior_merchants,average_transaction_value,users_per_merchant,transactions_per_merchant,value_per_merchant,merchants_per_1000_users,transaction_qoq,user_qoq,merchant_qoq,transaction_yoy,user_yoy,merchant_yoy,district_share_of_state,district_share_of_mapped_india
uttar pradesh|mahoba,8072,47502.0,37166511.66856451,14287,,uttar pradesh,mahoba,2018,1,2018-Q1,2018-01-01,,,,,782.4199332357482,,,,,,,,,,,0.003212532325168164,0.000339352182669918
uttar pradesh|meerut,8072,324748.0,410488845.7393602,123944,,uttar pradesh,meerut,2018,1,2018-Q1,2018-01-01,,,,,1264.0227060347106,,,,,,,,,,,0.02196251626318283,0.002319985318885321
west bengal|cooch behar,8072,184305.0,104277170.8894266,44961,,west bengal,cooch behar,2018,1,2018-Q1,2018-01-01,,,,,565.7859032008172,,,,,,,,,,,0.01815540745076526,0.0013166667514416075
west bengal|jhargram,8072,97579.0,49041351.79863003,19829,,west bengal,jhargram,2018,1,2018-Q1,2018-01-01,,,,,502.58100409545114,,,,,,,,,,,0.009612254163686407,0.0006971000512135894
manipur|senapati,8072,1402.0,1920048.7992410369,595,,manipur,senapati,2018,1,2018-Q1,2018-01-01,,,,,1369.5069894729222,,,,,,,,,,,0.013364090441148434,1.0015825862136858e-05
odisha|angul,8072,216670.0,172859802.7506137,60165,,odisha,angul,2018,1,2018-Q1,2018-01-01,,,,,797.8022003535962,,,,,,,,,,,0.03073775433799982,0.0015478808769965712
odisha|balasore,8072,568214.0,368422817.6377275,94452,,odisha,balasore,2018,1,2018-Q1,2018-01-01,,,,,648.3874343781172,,,,,,,,,,,0.08060932451844847,0.004059295632259795
odisha|bhadrak,8072,338956.0,229097043.9747516,54014,,odisha,bhadrak,2018,1,2018-Q1,2018-01-01,,,,,675.8902157647352,,,,,,,,,,,0.04808578141593699,0.002421486641174366
odisha|dhenkanal,8072,206525.0,132529842.38611358,44933,,odisha,dhenkanal,2018,1,2018-Q1,2018-01-01,,,,,641.7133150277864,,,,,,,,,,,0.029298540243944307,0.001475405446631822
sikkim|gangtok,8072,21040.0,32678157.487245888,12013,,sikkim,gangtok,2018,1,2018-Q1,2018-01-01,,,,,1553.1443672645385,,,,,,,,,,,0.4013582083857922,0.00015030882748884414
tamil nadu|madurai,8072,135812.0,242005601.2816779,73265,1.0,tamil nadu,madurai,2018,1,2018-Q1,2018-01-01,,,,,1781.9161876835472,73265.0,135812.0,242005601.2816779,0.013649082099228826,,,,,,,0.0275822515161282,0.000970234908693674
tamil nadu|tenkasi,8072,23939.0,37479969.94731169,15693,,tamil nadu,tenkasi,2018,1,2018-Q1,2018-01-01,,,,,1565.6447615736536,,,,,,,,,,,0.0048618054298927415,0.00017101915500263498
