district_key,period_id,transactions,value_inr,registered_users,registered_merchants,state,district,year,quarter,period_label,quarter_start,prior_period,prior_transactions,prior_users,prior_merchants,average_transaction_value,users_per_merchant,transactions_per_merchant,value_per_merchant,merchants_per_1000_users,transaction_qoq,user_qoq,merchant_qoq,transaction_yoy,user_yoy,merchant_yoy,district_share_of_state,district_share_of_mapped_india,growth_percentile,intensity_percentile,low_penetration_percentile,scale_percentile,opportunity_score,equal_weight_score,no_intensity_score,market_segment,score_rank,display_rank,equal_weight_rank,no_intensity_rank
gujarat|dahod,8105,16933391,19207494272.848843,613068,18617,gujarat,dahod,2026,2,2026-Q2,2026-04-01,8104,16699724,602454,18293,1134.2969800230114,32.93054734919697,909.566041789762,1031718.0143336114,30.366941350714765,0.01399226717758939,0.01761794261470584,0.017711692997321338,0.3569970644086313,0.1498093553717148,0.09350954478707774,0.014624191829536873,0.00043795949407495806,0.9602356406480118,0.6936671575846833,0.9617083946980854,0.4256259204712813,78.7039764359352,76.03092783505154,82.70986745213548,High growth / low relative penetration,15,15,24,1
andhra pradesh|west godavari,8105,116947182,175440890450.4419,1195968,48583,andhra pradesh,west godavari,2026,2,2026-Q2,2026-04-01,8104,108897235,1163644,47124,1500.1720216776314,24.617005948582836,2407.162628903114,3611158.027508427,40.62232434312624,0.07392241869134697,0.027778255205200164,0.030960869196163365,0.3053306759084742,0.11051395143692844,0.13307834036896238,0.036028569366727284,0.003024682336940784,0.8070692194403535,0.9955817378497791,0.9057437407952872,0.7466863033873343,86.67893961708396,86.37702503681885,82.65095729013254,High growth / low relative penetration,1,1,1,2
gujarat|jamnagar,8105,21411527,18808789438.998512,728437,32448,gujarat,jamnagar,2026,2,2026-Q2,2026-04-01,8104,19624177,697212,31791,878.4422259560708,22.449365138067062,659.8720106015779,579659.4378389581,44.544689520164404,0.09107897875156756,0.044785517174116274,0.020666226290459555,0.43114839094848834,0.13633803871527328,0.06663160316886363,0.018491646369667374,0.0005537804880482772,0.9926362297496318,0.4786450662739323,0.8527245949926362,0.5228276877761414,73.519882179676,71.17083946980854,82.62150220913107,High growth / low relative penetration,44,44,53,3
telangana|sangareddy,8105,199983054,247694265165.85773,1849509,102640,telangana,sangareddy,2026,2,2026-Q2,2026-04-01,8104,185277689,1780493,99533,1238.5762703966793,18.019378409976618,1948.392965705378,2413233.292730492,55.49580996902421,0.07936932438746047,0.03876229785795293,0.03121577768177386,0.32340520180300913,0.11661119358786354,0.16237457815225032,0.0515655152428151,0.005172294028609215,0.8792341678939617,0.9867452135493373,0.695139911634757,0.8924889543446245,86.2739322533137,86.340206185567,81.81148748159058,Mixed signals,2,2,2,4
gujarat|bharuch,8105,54956816,49075687018.12626,1267931,55060,gujarat,bharuch,2026,2,2026-Q2,2026-04-01,8104,53313819,1216696,53959,892.9863589281857,23.028169269887396,998.1259716672721,891312.8771908147,43.42507597022235,0.030817469669542907,0.042109943650673554,0.020404381104171643,0.29796967218297166,0.12302386201289073,0.09120456617384765,0.04746237888941213,0.0014213844900487185,0.7776141384388807,0.7496318114874816,0.8674521354933726,0.7717231222385862,79.1899852724595,79.16053019145802,80.75846833578792,High growth / low relative penetration,14,14,14,5
andhra pradesh|dr br ambedkar konaseema,8105,90739703,131195398848.14876,930577,45653,andhra pradesh,dr br ambedkar konaseema,2026,2,2026-Q2,2026-04-01,8104,84156459,919295,43914,1445.8433795859873,20.383698771165093,1987.5956235077651,2873751.973542785,49.05880974922011,0.07822624761338881,0.0122724479084515,0.03960012752197484,0.3295914408846017,0.09187922620856503,0.12075907104630046,0.02795468542244765,0.00234686096945331,0.9086892488954345,0.9896907216494846,0.8070692194403535,0.6406480117820325,84.99263622974962,83.65243004418262,80.61119293078056,High growth / low relative penetration,3,3,5,6
andhra pradesh|east godavari,8105,137797638,199632453172.0641,1370485,74989,andhra pradesh,east godavari,2026,2,2026-Q2,2026-04-01,8104,127045400,1339657,73104,1448.7363939581032,18.27581378602195,1837.571350464735,2662156.4919130015,54.71712568908087,0.08463303669396915,0.02301186049862025,0.025785182753337743,0.32186243402769366,0.10141662775568139,0.10918987678790648,0.0424520854145436,0.0035639514745277076,0.8748159057437408,0.9764359351988218,0.7172312223858616,0.7952871870397643,84.4918998527246,84.09425625920471,79.9779086892489,Mixed signals,4,4,4,7
andhra pradesh|alluri sitharama raju,8105,22403546,28684114124.232155,411684,11247,andhra pradesh,alluri sitharama raju,2026,2,2026-Q2,2026-04-01,8104,20991582,403857,10865,1280.3381270193636,36.60389437183249,1991.9574997777186,2550379.1343675787,27.31949747864867,0.06726334394425337,0.019380622348999843,0.03515876668200635,0.3787052917103264,0.14787758470701085,0.10081237153763345,0.006901985129677307,0.0005794377317363693,0.9823269513991163,0.9911634756995582,0.9720176730486009,0.2547864506627393,83.64506627393226,80.00736377025038,79.68335787923417,High growth / low relative penetration,6,6,12,8
andhra pradesh|sri potti sriramulu nellore,8105,167305685,260563771098.71765,1729942,93583,andhra pradesh,sri potti sriramulu nellore,2026,2,2026-Q2,2026-04-01,8104,152707700,1687374,90460,1557.4113401987365,18.48564376008463,1787.7786029513907,2784306.67000115,54.09603327741624,0.09559429550703724,0.025227365124744106,0.034523546318814935,0.3048670644189575,0.10795777322482247,0.15370769894594094,0.05154279371580176,0.0043271376157595545,0.8055964653902798,0.9705449189985272,0.727540500736377,0.8748159057437408,84.11634756995582,84.46244477172313,79.55817378497791,Mixed signals,5,5,3,9
karnataka|dakshina kannada,8105,65808357,80430221043.3572,1572822,54458,karnataka,dakshina kannada,2026,2,2026-Q2,2026-04-01,8104,61858620,1548592,53902,1222.1885594766816,28.881376473612693,1208.424051562672,1476922.0508163574,34.62438851948917,0.06385103644407208,0.015646471116988803,0.010315016140402866,0.2679983917348101,0.08969563358804011,0.057436893203883566,0.014651063587365329,0.001702045073997537,0.6303387334315169,0.8321060382916053,0.9410898379970545,0.8497790868924889,80.23564064801178,81.33284241531665,79.3961708394698,Mixed signals,11,11,8,10
