period_id,transactions,value_inr,registered_users,registered_merchants,period_label,quarter_start,average_transaction_value,transaction_qoq
8072,139978472,172523270810.37894,47483331,,2018-Q1,2018-01-01,1232.498600287471,
8073,193648476,305279798418.1561,64487449,,2018-Q2,2018-04-01,1576.463728111943,0.3834161298745995
8074,347025910,476033348896.45764,80451695,,2018-Q3,2018-07-01,1371.751604646632,0.792040490935751
8075,428390875,673283248301.329,103041018,,2018-Q4,2018-10-01,1571.656371768724,0.23446366007656305
8076,720286340,992293635817.2126,124474095,,2019-Q1,2019-01-01,1377.6377264314253,0.6813764765647727
8077,827651243,1356993358740.0251,142792343,,2019-Q2,2019-04-01,1639.571462275959,0.1490586410398953
8078,1105941812,1675692830348.221,161077774,7174622,2019-Q3,2019-07-01,1515.1726900693586,0.336241347250656
8079,1470544201,2263089993906.7188,179919543,8730394,2019-Q4,2019-10-01,1538.9472770473485,0.32967592421580316
8080,1632700391,2700008001205.07,199439769,10191200,2020-Q1,2020-01-01,1653.7069606208418,0.11026951103525517
8081,1460073590,2648632512846.534,220938543,10814817,2020-Q2,2020-04-01,1814.0404230217835,-0.10573085052933018
8082,2048019938,3905742739622.1963,243215163,12747549,2020-Q3,2020-07-01,1907.0823809637131,0.402682681220198
8083,2881872698,5399818617932.307,266217911,15655589,2020-Q4,2020-10-01,1873.7186488770806,0.40715070421350563
8084,3465701161,6288245735690.94,287013158,18606666,2021-Q1,2021-01-01,1814.422376185637,0.20258648600445572
8085,3950564961,7480775299428.436,306887085,20165241,2021-Q2,2021-04-01,1893.596326925058,0.13990352239721005
8086,5272656661,9221901249221.28,329261090,22890624,2021-Q3,2021-07-01,1749.0046938638093,0.33465889386750924
8087,5764603037,10098111408966.547,351735253,25772309,2021-Q4,2021-10-01,1751.7444556289483,0.09330142424003363
8088,7423558782,12902637273132.594,373458895,28969860,2022-Q1,2022-01-01,1738.0662903104892,0.28778317159950517
8089,8953703516,15095588957109.434,393808126,31234187,2022-Q2,2022-04-01,1685.9603325187245,0.2061201074759671
8090,10537204847,16583731033669.473,415288831,33142892,2022-Q3,2022-07-01,1573.8263870224514,0.1768543405720695
8091,11726259964,18384353717137.95,435986267,34914715,2022-Q4,2022-10-01,1567.7934630119505,0.11284350397140952
8092,13096484122,20524853702591.984,455409990,34943184,2023-Q1,2023-01-01,1567.2033433853833,0.11685091087922594
8093,15116188269,22928170083465.336,473707081,35719392,2023-Q2,2023-04-01,1516.7957474098152,0.15421727909456395
8094,17048164659,24021457041139.99,493224570,36887945,2023-Q3,2023-07-01,1409.0347859503265,0.12780843659919627
8095,19035135042,27128080651159.312,512970015,38058561,2023-Q4,2023-10-01,1425.1582976061197,0.1165503984002787
8096,21249834578,29516491410619.08,534970739,39484149,2024-Q1,2024-01-01,1389.0221734327083,0.11634798130474966
8097,24032135939,31829694445437.047,556801420,40872218,2024-Q2,2024-04-01,1324.4638148781007,0.13093284800816862
8098,25827563643,32356700509486.277,578589126,42251032,2024-Q3,2024-07-01,1252.7972423854953,0.07470945190045852
8099,28223944837,36009328069703.1,598686585,43635883,2024-Q4,2024-10-01,1275.8431990164927,0.09278386560667662
8100,29508297215,37332030060226.1,618397806,44874862,2025-Q1,2025-01-01,1265.1367101334824,0.04550577126682476
8101,31134210599,38419462580115.2,637393317,46011340,2025-Q2,2025-04-01,1233.9950761863606,0.055100210362985624
8102,33007997900,38147339254577.14,657562800,47192762,2025-Q3,2025-07-01,1155.6998812877755,0.060184191760435546
8103,34893534253,41477903742783.74,676844921,48650084,2025-Q4,2025-10-01,1188.698841511523,0.057123620727084434
8104,36251699085,43446066746720.32,694567756,49642630,2026-Q1,2026-01-01,1198.4560129127067,0.03892310885313166
8105,38664285691,45496453556876.69,711653262,50705249,2026-Q2,2026-04-01,1176.7048774799177,0.06655099393667485
