district_key,period_id,transactions,value_inr,registered_users,registered_merchants,state,district,year,quarter,period_label,quarter_start,prior_period,prior_transactions,prior_users,prior_merchants,average_transaction_value,users_per_merchant,transactions_per_merchant,value_per_merchant,merchants_per_1000_users,transaction_qoq,user_qoq,merchant_qoq,transaction_yoy,user_yoy,merchant_yoy,district_share_of_state,district_share_of_mapped_india,broad_score
andhra pradesh|west godavari,8105,116947182.0,175440890450.4419,1195968,48583.0,andhra pradesh,west godavari,2026,2,2026-Q2,2026-04-01,8104.0,108897235.0,1163644.0,47124.0,1500.1720216776314,24.61700594858284,2407.162628903114,3611158.027508427,40.62232434312624,0.0739224186913469,0.0277782552052001,0.0309608691961633,0.3053306759084742,0.1105139514369284,0.1330783403689623,0.0360285693667272,0.0030246823369407,83.17774936061382
telangana|sangareddy,8105,199983054.0,247694265165.85773,1849509,102640.0,telangana,sangareddy,2026,2,2026-Q2,2026-04-01,8104.0,185277689.0,1780493.0,99533.0,1238.576270396679,18.019378409976618,1948.392965705378,2413233.292730492,55.49580996902421,0.0793693243874604,0.0387622978579529,0.0312157776817738,0.3234052018030091,0.1166111935878635,0.1623745781522503,0.0515655152428151,0.0051722940286092,82.51278772378517
andhra pradesh|dr br ambedkar konaseema,8105,90739703.0,131195398848.14876,930577,45653.0,andhra pradesh,dr br ambedkar konaseema,2026,2,2026-Q2,2026-04-01,8104.0,84156459.0,919295.0,43914.0,1445.8433795859871,20.383698771165093,1987.595623507765,2873751.973542785,49.05880974922011,0.0782262476133888,0.0122724479084515,0.0396001275219748,0.3295914408846017,0.091879226208565,0.1207590710463004,0.0279546854224476,0.0023468609694533,81.54092071611254
andhra pradesh|alluri sitharama raju,8105,22403546.0,28684114124.232155,411684,11247.0,andhra pradesh,alluri sitharama raju,2026,2,2026-Q2,2026-04-01,8104.0,20991582.0,403857.0,10865.0,1280.3381270193636,36.60389437183249,1991.9574997777183,2550379.1343675787,27.31949747864867,0.0672633439442533,0.0193806223489998,0.0351587666820063,0.3787052917103264,0.1478775847070108,0.1008123715376334,0.0069019851296773,0.0005794377317363,81.5153452685422
andhra pradesh|east godavari,8105,137797638.0,199632453172.0641,1370485,74989.0,andhra pradesh,east godavari,2026,2,2026-Q2,2026-04-01,8104.0,127045400.0,1339657.0,73104.0,1448.7363939581032,18.27581378602195,1837.571350464735,2662156.491913001,54.71712568908087,0.0846330366939691,0.0230118604986202,0.0257851827533377,0.3218624340276936,0.1014166277556813,0.1091898767879064,0.0424520854145436,0.0035639514745277,80.73529411764706
andhra pradesh|sri potti sriramulu nellore,8105,167305685.0,260563771098.71765,1729942,93583.0,andhra pradesh,sri potti sriramulu nellore,2026,2,2026-Q2,2026-04-01,8104.0,152707700.0,1687374.0,90460.0,1557.4113401987363,18.48564376008463,1787.778602951391,2784306.67000115,54.09603327741624,0.0955942955070372,0.0252273651247441,0.0345235463188149,0.3048670644189575,0.1079577732248224,0.1537076989459409,0.0515427937158017,0.0043271376157595,80.1854219948849
arunachal pradesh|shi yomi,8105,154985.0,328641399.6619879,6109,15.0,arunachal pradesh,shi yomi,2026,2,2026-Q2,2026-04-01,8104.0,133665.0,5379.0,15.0,2120.4723015903983,407.26666666666665,10332.333333333334,21909426.64413253,2.455393681453593,0.1595032357011931,0.1357129577988474,0.0,1.04201691744183,0.341752690533714,0.0,0.0038143098898581,4.008479588595537e-06,79.97442455242967
nagaland|mon,8105,770026.0,973442419.3602532,44304,299.0,nagaland,mon,2026,2,2026-Q2,2026-04-01,8104.0,649656.0,41806.0,280.0,1264.168248033512,148.17391304347825,2575.3377926421404,3255660.265418907,6.748826291079812,0.1852826726760008,0.0597521886810505,0.0678571428571428,0.6194946926534208,0.2154399056267317,0.3114035087719298,0.0623082770271637,1.9915691864940916e-05,79.9616368286445
sikkim|mangan,8105,1242933.0,1910234174.787449,32027,333.0,sikkim,mangan,2026,2,2026-Q2,2026-04-01,8104.0,1126612.0,31743.0,332.0,1536.876223245701,96.17717717717716,3732.531531531532,5736438.963325673,10.397477128672682,0.1032485008148325,0.0089468544245976,0.0030120481927711,0.4875484406827532,0.0938556644694148,0.1725352112676057,0.0831046217218708,3.214679846754084e-05,79.5460358056266
manipur|pherzawl,8105,11432.0,16176764.942819271,1928,3.0,manipur,pherzawl,2026,2,2026-Q2,2026-04-01,8104.0,10375.0,1766.0,3.0,1415.042419770755,642.6666666666666,3810.6666666666665,5392254.980939757,1.5560165975103737,0.1018795180722891,0.0917327293318233,0.0,0.841198260589467,0.3259972489683631,0.0,0.0010929577173933,2.956733790807122e-07,79.39258312020459
