state,period_id,transactions,value_inr,registered_users,registered_merchants,year,quarter,period_label,quarter_start,retail_transactions,prior_period,prior_transactions,prior_users,prior_merchants,prior_retail,average_transaction_value,users_per_merchant,transactions_per_merchant,value_per_merchant,merchants_per_1000_users,transaction_qoq,user_qoq,merchant_qoq,retail_qoq,transaction_yoy,user_yoy,merchant_yoy,state_contribution
tripura,8072,184069,166034070.60133272,55908,,2018,1,2018-Q1,2018-01-01,127863,,,,,,902.020821546989,,,,,,,,,,,,0.0013149807779013333
uttar pradesh,8072,14786466,15841767520.712671,4921602,24.0,2018,1,2018-Q1,2018-01-01,10010877,,,,,,1071.369421247286,205066.75,616102.75,660073646.6963613,0.0048764609572249035,,,,,,,,0.10563385775492677
uttarakhand,8072,1451113,1711189177.2167993,499946,,2018,1,2018-Q1,2018-01-01,992270,,,,,,1179.2253099633174,,,,,,,,,,,,0.01036668695740585
west bengal,8072,10151521,7623652076.70104,2576622,29.0,2018,1,2018-Q1,2018-01-01,5952060,,,,,,750.9861898232826,88849.03448275862,350052.4482758621,262884554.3690014,0.01125504633586145,,,,,,,,0.07252201609973283
andaman & nicobar islands,8072,9089,18569126.204451814,9292,,2018,1,2018-Q1,2018-01-01,6656,,,,,,2043.032919402774,,,,,,,,,,,,6.493141316759052e-05
andhra pradesh,8072,10862829,14001071206.72507,2979027,30.0,2018,1,2018-Q1,2018-01-01,6888562,,,,,,1288.8973219338232,99300.9,362094.3,466702373.5575024,0.010070402181651929,,,,,,,,0.0776035689259417
arunachal pradesh,8072,56572,112009706.82247923,26660,,2018,1,2018-Q1,2018-01-01,40846,,,,,,1979.9495655532637,,,,,,,,,,,,0.00040414786067960505
assam,8072,1295882,1391575090.9188318,449118,,2018,1,2018-Q1,2018-01-01,917663,,,,,,1073.8439849606923,,,,,,,,,,,,0.009257723573379197
bihar,8072,7267806,7318769108.557262,2173873,2.0,2018,1,2018-Q1,2018-01-01,4816218,,,,,,1007.0121723883744,1086936.5,3633903.0,3659384554.278631,0.0009200169467121585,,,,,,,,0.051920883948497455
chandigarh,8072,223975,393507115.8481144,84504,,2018,1,2018-Q1,2018-01-01,135274,,,,,,1756.9242810497349,,,,,,,,,,,,0.0016000674732325982
