district_key,period_id,transactions,value_inr,registered_users,registered_merchants,state,district,year,quarter,period_label,quarter_start,prior_period,prior_transactions,prior_users,prior_merchants,average_transaction_value,users_per_merchant,transactions_per_merchant,value_per_merchant,merchants_per_1000_users,transaction_qoq,user_qoq,merchant_qoq,transaction_yoy,user_yoy,merchant_yoy,district_share_of_state,district_share_of_mapped_india,growth_percentile,intensity_percentile,low_penetration_percentile,scale_percentile,opportunity_score,equal_weight_score,no_intensity_score,market_segment,score_rank,display_rank,equal_weight_rank,no_intensity_rank,investigation_rank,equal_weight_shortlist_rank,no_intensity_shortlist_rank,recommendation
andhra pradesh|west godavari,8105,116947182,175440890450.4419,1195968,48583,andhra pradesh,west godavari,2026,2,2026-Q2,2026-04-01,8104,108897235,1163644,47124,1500.1720216776314,24.61700594858284,2407.162628903114,3611158.027508427,40.62232434312624,0.0739224186913469,0.0277782552052001,0.0309608691961633,0.3053306759084742,0.1105139514369284,0.1330783403689623,0.0360285693667272,0.0030246823369407,0.8070692194403535,0.9955817378497792,0.9057437407952872,0.7466863033873343,86.67893961708396,86.37702503681885,82.65095729013254,High growth / low relative penetration,1,1,1,2,1,1,2,Priority field validation
telangana|sangareddy,8105,199983054,247694265165.85773,1849509,102640,telangana,sangareddy,2026,2,2026-Q2,2026-04-01,8104,185277689,1780493,99533,1238.576270396679,18.019378409976618,1948.392965705378,2413233.292730492,55.49580996902421,0.0793693243874604,0.0387622978579529,0.0312157776817738,0.3234052018030091,0.1166111935878635,0.1623745781522503,0.0515655152428151,0.0051722940286092,0.8792341678939617,0.9867452135493372,0.695139911634757,0.8924889543446245,86.2739322533137,86.340206185567,81.81148748159058,Mixed signals,2,2,2,4,2,2,4,Priority field validation
andhra pradesh|dr br ambedkar konaseema,8105,90739703,131195398848.14876,930577,45653,andhra pradesh,dr br ambedkar konaseema,2026,2,2026-Q2,2026-04-01,8104,84156459,919295,43914,1445.8433795859871,20.383698771165093,1987.595623507765,2873751.973542785,49.05880974922011,0.0782262476133888,0.0122724479084515,0.0396001275219748,0.3295914408846017,0.091879226208565,0.1207590710463004,0.0279546854224476,0.0023468609694533,0.9086892488954345,0.9896907216494846,0.8070692194403535,0.6406480117820325,84.99263622974962,83.65243004418262,80.61119293078056,High growth / low relative penetration,3,3,5,6,3,5,6,Priority field validation
andhra pradesh|east godavari,8105,137797638,199632453172.0641,1370485,74989,andhra pradesh,east godavari,2026,2,2026-Q2,2026-04-01,8104,127045400,1339657,73104,1448.7363939581032,18.27581378602195,1837.571350464735,2662156.491913001,54.71712568908087,0.0846330366939691,0.0230118604986202,0.0257851827533377,0.3218624340276936,0.1014166277556813,0.1091898767879064,0.0424520854145436,0.0035639514745277,0.8748159057437408,0.9764359351988218,0.7172312223858616,0.7952871870397643,84.4918998527246,84.09425625920471,79.9779086892489,Mixed signals,4,4,4,7,4,4,7,Priority field validation
andhra pradesh|sri potti sriramulu nellore,8105,167305685,260563771098.71765,1729942,93583,andhra pradesh,sri potti sriramulu nellore,2026,2,2026-Q2,2026-04-01,8104,152707700,1687374,90460,1557.4113401987363,18.48564376008463,1787.778602951391,2784306.67000115,54.09603327741624,0.0955942955070372,0.0252273651247441,0.0345235463188149,0.3048670644189575,0.1079577732248224,0.1537076989459409,0.0515427937158017,0.0043271376157595,0.8055964653902798,0.9705449189985272,0.727540500736377,0.8748159057437408,84.11634756995582,84.46244477172313,79.55817378497791,Mixed signals,5,5,3,9,5,3,9,Priority field validation
andhra pradesh|alluri sitharama raju,8105,22403546,28684114124.232155,411684,11247,andhra pradesh,alluri sitharama raju,2026,2,2026-Q2,2026-04-01,8104,20991582,403857,10865,1280.3381270193636,36.60389437183249,1991.9574997777183,2550379.1343675787,27.31949747864867,0.0672633439442533,0.0193806223489998,0.0351587666820063,0.3787052917103264,0.1478775847070108,0.1008123715376334,0.0069019851296773,0.0005794377317363,0.9823269513991164,0.9911634756995582,0.9720176730486008,0.2547864506627393,83.64506627393226,80.00736377025038,79.68335787923417,High growth / low relative penetration,6,6,12,8,6,12,8,Priority field validation
andhra pradesh|tirupati,8105,225322514,296625059979.7168,2219362,118910,andhra pradesh,tirupati,2026,2,2026-Q2,2026-04-01,8104,211434880,2150225,115731,1316.446611188249,18.6642166344294,1894.8996215625264,2494534.185347883,53.57846083694323,0.0656827955728023,0.0321533792975152,0.0274688717802489,0.2817131382799915,0.1096371693318114,0.1224913625464911,0.0694163611871757,0.0058276652464434,0.7010309278350515,0.9808541973490428,0.7349042709867453,0.91899852724595,82.30486008836525,83.39469808541973,76.7378497790869,Mixed signals,7,7,6,16,7,6,15,Investigate; sensitive to intensity weighting
andhra pradesh|eluru,8105,131965615,190892439048.94632,1279217,67639,andhra pradesh,eluru,2026,2,2026-Q2,2026-04-01,8104,121039764,1255721,65450,1446.5316518166214,18.912417392332827,1951.0284746965508,2822224.442244065,52.87531357072334,0.0902666251067707,0.0187111627503242,0.0334453781512604,0.2915598160731087,0.1046473672575543,0.1455112029400307,0.0406553816239054,0.0034131140053808,0.7466863033873343,0.9882179675994108,0.7466863033873343,0.7790868924889544,81.35493372606774,81.51693667157585,75.47864506627393,Mixed signals,8,8,7,21,8,7,20,Investigate; sensitive to intensity weighting
karnataka|mandya,8105,78895989,121870206985.62411,975953,41069,karnataka,mandya,2026,2,2026-Q2,2026-04-01,8104,71413936,954428,40005,1544.69458498865,23.76373907326694,1921.0594122087216,2967450.071480292,42.08091988036309,0.1047702089967426,0.0225527750652747,0.026596675415573,0.2821500060787401,0.0934888343363065,0.1585703001579779,0.017564792745503,0.0020405391588125,0.7069219440353461,0.9823269513991164,0.8836524300441826,0.6612665684830633,81.08247422680412,80.8541973490427,75.73637702503682,Mixed signals,9,9,9,20,9,10,19,Investigate; sensitive to intensity weighting
karnataka|hassan,8105,88081824,127101185281.3815,1110612,42357,karnataka,hassan,2026,2,2026-Q2,2026-04-01,8104,81190857,1087481,41466,1442.9899326492318,26.22027055740492,2079.510446915504,3000712.639737977,38.13843178355717,0.0848736822669578,0.0212702566757487,0.0214874837216032,0.2641339570765659,0.0918249677794196,0.163685815544383,0.0196098559992178,0.0022781184865004,0.5994108983799705,0.9941089837997056,0.9234167893961708,0.7172312223858616,80.26509572901327,80.8541973490427,74.22680412371135,Mixed signals,10,10,9,23,10,9,22,Investigate; sensitive to intensity weighting
