state,district,year,quarter,period_id,district_key,period_label,transaction_count,transaction_amount,registered_users,registered_merchants,average_transaction_value,merchants_per_100k_users,users_per_merchant,transactions_per_registered_user,tpv_per_registered_user,transactions_per_merchant,prior_period_id,prior_transactions,prior_tpv,prior_users,prior_merchants,transaction_qoq,tpv_qoq,user_qoq,merchant_qoq,transaction_yoy
andaman & nicobar islands,nicobar,2018,1,8072,andaman & nicobar islands|nicobar,2018-Q1,696.0,1455284.39,484,,2090.9258477011495,,,1.43801652892562,3006.785929752066,,,,,,,,,,,
andaman & nicobar islands,nicobar,2018,2,8073,andaman & nicobar islands|nicobar,2018-Q2,1480.0,3781103.31,688,,2554.7995337837838,,,2.1511627906976742,5495.789694767442,,8072.0,696.0,1455284.39,484.0,,1.1264367816091956,1.5981885987246796,0.42148760330578505,,
andaman & nicobar islands,nicobar,2018,3,8074,andaman & nicobar islands|nicobar,2018-Q3,1870.0,7560956.96,853,,4043.2924919786096,,,2.1922626025791323,8863.958921453694,,8073.0,1480.0,3781103.31,688.0,,0.2635135135135136,0.9996694985834702,0.23982558139534893,,
andaman & nicobar islands,nicobar,2018,4,8075,andaman & nicobar islands|nicobar,2018-Q4,1860.0,8376410.36,1037,,4503.446430107527,,,1.793635486981678,8077.541330761814,,8074.0,1870.0,7560956.96,853.0,,-0.005347593582887722,0.107850554409187,0.21570926143024627,,
andaman & nicobar islands,nicobar,2019,1,8076,andaman & nicobar islands|nicobar,2019-Q1,1985.0,8745229.69,1226,,4405.657274559194,,,1.6190864600326265,7133.140040783034,,8075.0,1860.0,8376410.36,1037.0,,0.06720430107526876,0.04403071413039017,0.18225650916104152,,1.8520114942528734
andaman & nicobar islands,nicobar,2019,2,8077,andaman & nicobar islands|nicobar,2019-Q2,2769.0,12927813.29,1362,1.0,4668.766085229325,73.42143906020559,1362.0,2.0330396475770924,9491.786556534507,2769.0,8076.0,1985.0,8745229.69,1226.0,,0.3949622166246851,0.478270296866268,0.11092985318107673,,0.8709459459459459
andaman & nicobar islands,nicobar,2019,3,8078,andaman & nicobar islands|nicobar,2019-Q3,3103.0,16425425.95,1481,2.0,5293.40185304544,135.0438892640108,740.5,2.0952059419311277,11090.767015530048,1551.5,8077.0,2769.0,12927813.29,1362.0,1.0,0.12062116287468405,0.270549441080302,0.08737151248164454,1.0,0.6593582887700535
andaman & nicobar islands,nicobar,2019,4,8079,andaman & nicobar islands|nicobar,2019-Q4,3641.0,17561315.74,1576,2.0,4823.212232903048,126.90355329949239,788.0,2.310279187817259,11142.966840101522,1820.5,8078.0,3103.0,16425425.95,1481.0,2.0,0.17338059941991624,0.06915435821620197,0.06414584740040508,0.0,0.9575268817204301
andaman & nicobar islands,nicobar,2020,1,8080,andaman & nicobar islands|nicobar,2020-Q1,4062.0,17218939.24,1694,2.0,4239.0298473658295,118.06375442739079,847.0,2.397874852420307,10164.663069657614,2031.0,8079.0,3641.0,17561315.74,1576.0,2.0,0.11562757484207631,-0.019496061973315437,0.0748730964467006,0.0,1.0463476070528968
andaman & nicobar islands,nicobar,2020,2,8081,andaman & nicobar islands|nicobar,2020-Q2,5173.0,19118891.01,1852,3.0,3695.900059926542,161.98704103671707,617.3333333333334,2.7931965442764577,10323.37527537797,1724.3333333333333,8080.0,4062.0,17218939.24,1694.0,2.0,0.27351058591826694,0.11034081388628003,0.09327036599763883,0.5,0.8681834597327556
andaman & nicobar islands,nicobar,2020,3,8082,andaman & nicobar islands|nicobar,2020-Q3,6999.0,30268456.16,2092,3.0,4324.6829775682245,143.40344168260037,697.3333333333334,3.345602294455067,14468.669292543022,2333.0,8081.0,5173.0,19118891.01,1852.0,3.0,0.35298666151169544,0.5831700773945674,0.12958963282937375,0.0,1.2555591363196905
andaman & nicobar islands,nicobar,2020,4,8083,andaman & nicobar islands|nicobar,2020-Q4,10472.0,43285754.49,2489,4.0,4133.475409663865,160.70711128967457,622.25,4.20731217356368,17390.821410204902,2618.0,8082.0,6999.0,30268456.16,2092.0,3.0,0.4962137448206887,0.43006152217312166,0.18977055449330793,0.33333333333333326,1.8761329305135952
andaman & nicobar islands,nicobar,2021,1,8084,andaman & nicobar islands|nicobar,2021-Q1,14192.0,52327795.95,2826,4.0,3687.133311020293,141.54281670205236,706.5,5.021939136588818,18516.55907643312,3548.0,8083.0,10472.0,43285754.49,2489.0,4.0,0.35523300229182575,0.2088918529094581,0.13539574126155074,0.0,2.4938453963564746
andaman & nicobar islands,nicobar,2021,2,8085,andaman & nicobar islands|nicobar,2021-Q2,22389.0,66494725.94,3205,7.0,2969.9730197865024,218.408736349454,457.85714285714283,6.985647425897036,20747.184380655224,3198.4285714285716,8084.0,14192.0,52327795.95,2826.0,4.0,0.5775789177001127,0.27073431496210376,0.13411181882519463,0.75,3.3280494877247246
andaman & nicobar islands,nicobar,2021,3,8086,andaman & nicobar islands|nicobar,2021-Q3,30653.0,103011207.61,3564,8.0,3360.5587580334713,224.4668911335578,445.5,8.600729517396184,28903.25690516274,3831.625,8085.0,22389.0,66494725.94,3205.0,7.0,0.369109830720443,0.5491635788220228,0.11201248049921997,0.1428571428571428,3.3796256608086868
andaman & nicobar islands,nicobar,2021,4,8087,andaman & nicobar islands|nicobar,2021-Q4,30484.0,93324727.87,3959,11.0,3061.433140991996,277.84794139934326,359.90909090909093,7.6999242232887095,23572.803200303108,2771.2727272727275,8086.0,30653.0,103011207.61,3564.0,8.0,-0.005513326591198298,-0.09403326069793261,0.11083052749719413,0.375,1.9110007639419404
andaman & nicobar islands,nicobar,2022,1,8088,andaman & nicobar islands|nicobar,2022-Q1,41261.0,124917985.77,4276,15.0,3027.5074712197957,350.79513564078576,285.06666666666666,9.649438727782975,29213.747841440596,2750.733333333333,8087.0,30484.0,93324727.87,3959.0,11.0,0.35352972050911946,0.3385304047605575,0.0800707249305379,0.36363636363636354,1.9073421645997746
andaman & nicobar islands,nicobar,2022,2,8089,andaman & nicobar islands|nicobar,2022-Q2,62856.0,177739744.44,4668,17.0,2827.7291657121036,364.1816623821765,274.5882352941176,13.465295629820051,38076.20917737789,3697.4117647058824,8088.0,41261.0,124917985.77,4276.0,15.0,0.5233755846925667,0.42285150808672056,0.09167446211412544,0.1333333333333333,1.807450087096342
andaman & nicobar islands,nicobar,2022,3,8090,andaman & nicobar islands|nicobar,2022-Q3,84324.0,202744751.41,5044,22.0,2404.35405590342,436.1617763679619,229.27272727272728,16.717684377478193,40195.23223830293,3832.909090909091,8089.0,62856.0,177739744.44,4668.0,17.0,0.34154257350133643,0.14068326163505307,0.08054841473864616,0.2941176470588236,1.7509216063680553
