state,district,district_key,year,quarter,period_id,period_label,transaction_count,transaction_amount,registered_users,registered_merchants,average_transaction_value,merchants_per_100k_users,users_per_merchant,transactions_per_registered_user,tpv_per_registered_user,transactions_per_merchant,prior_period_id,prior_transactions,prior_tpv,prior_users,prior_merchants,transaction_qoq,tpv_qoq,user_qoq,merchant_qoq,transaction_yoy,positive_yoy_quarters_last4,average_yoy_last4,growth_percentile,intensity_percentile,low_penetration_percentile,scale_percentile,opportunity_score,equal_weight_score,no_intensity_score,opportunity_percentile,business_segment,opportunity_rank,equal_weight_rank,no_intensity_rank
gujarat,dahod,gujarat|dahod,2026,2,8105,2026-Q2,16933391,19207494272.85,613068,18617,1134.29698,3036.69414,32.93055,27.62074,31330.120432,909.56604,8104,16699724,19667803871.84,602454,18293,0.01399,-0.0234042,0.01762,0.01771,0.357,4.0,0.3286425,0.9602356406480118,0.6936671575846833,0.9617083946980854,0.4256259204712813,78.7039764359352,76.03092783505154,82.70986745213548,0.979381443298969,EXPAND,15,24,1
andhra pradesh,west godavari,andhra pradesh|west godavari,2026,2,8105,2026-Q2,116947182,175440890450.44,1195968,48583,1500.172022,4062.23243,24.61701,97.78454,146693.632648,2407.16263,8104,108897235,161885079487.32,1163644,47124,0.07392,0.0837372,0.02778,0.03096,0.30533,4.0,0.29804,0.8070692194403535,0.9955817378497791,0.9057437407952872,0.7466863033873343,86.67893961708396,86.37702503681885,82.65095729013254,1.0,EXPAND,1,1,2
gujarat,jamnagar,gujarat|jamnagar,2026,2,8105,2026-Q2,21411527,18808789439.0,728437,32448,878.442226,4454.46895,22.44937,29.39379,25820.749686,659.87201,8104,19624177,17795639415.09,697212,31791,0.09108,0.0569325,0.04479,0.02067,0.43115,4.0,0.4065425,0.9926362297496318,0.4786450662739323,0.8527245949926362,0.5228276877761414,73.519882179676,71.17083946980854,82.62150220913107,0.9366715758468336,EXPAND,44,53,3
telangana,sangareddy,telangana|sangareddy,2026,2,8105,2026-Q2,199983054,247694265165.86,1849509,102640,1238.57627,5549.581,18.01938,108.12765,133924.336224,1948.39297,8104,185277689,230592730732.57,1780493,99533,0.07937,0.0741634,0.03876,0.03122,0.32341,4.0,0.2909875,0.8792341678939617,0.9867452135493373,0.695139911634757,0.8924889543446245,86.2739322533137,86.340206185567,81.81148748159058,0.9985272459499264,EXPAND,2,2,4
gujarat,bharuch,gujarat|bharuch,2026,2,8105,2026-Q2,54956816,49075687018.13,1267931,55060,892.986359,4342.5076,23.02817,43.3437,38705.329405,998.12597,8104,53313819,48459797879.47,1216696,53959,0.03082,0.0127093,0.04211,0.0204,0.29797,4.0,0.298185,0.7761413843888071,0.7496318114874816,0.8674521354933726,0.7717231222385862,79.1458026509573,79.12371134020619,80.69955817378498,0.9808541973490427,EXPAND,14,14,5
andhra pradesh,dr br ambedkar konaseema,andhra pradesh|dr br ambedkar konaseema,2026,2,8105,2026-Q2,90739703,131195398848.15,930577,45653,1445.84338,4905.88097,20.3837,97.50908,140982.851336,1987.59562,8104,84156459,122361798755.1,919295,43914,0.07823,0.0721925,0.01227,0.0396,0.32959,4.0,0.33147,0.9086892488954345,0.9896907216494846,0.8070692194403535,0.6406480117820325,84.99263622974962,83.65243004418262,80.61119293078056,0.9970544918998527,EXPAND,3,5,6
andhra pradesh,east godavari,andhra pradesh|east godavari,2026,2,8105,2026-Q2,137797638,199632453172.06,1370485,74989,1448.736394,5471.71257,18.27581,100.54662,145665.551372,1837.57135,8104,127045400,183870485589.45,1339657,73104,0.08463,0.0857232,0.02301,0.02579,0.32186,4.0,0.2955325,0.8748159057437408,0.9764359351988218,0.7172312223858616,0.7952871870397643,84.4918998527246,84.09425625920471,79.9779086892489,0.9955817378497791,EXPAND,4,4,7
andhra pradesh,alluri sitharama raju,andhra pradesh|alluri sitharama raju,2026,2,8105,2026-Q2,22403546,28684114124.23,411684,11247,1280.338127,2731.94975,36.60389,54.41928,69675.076331,1991.9575,8104,20991582,28683764783.17,403857,10865,0.06726,1.22e-05,0.01938,0.03516,0.37871,4.0,0.2976275,0.9823269513991163,0.9911634756995582,0.9720176730486009,0.2547864506627393,83.64506627393226,80.00736377025038,79.68335787923417,0.9926362297496318,EXPAND,6,12,8
andhra pradesh,sri potti sriramulu nellore,andhra pradesh|sri potti sriramulu nellore,2026,2,8105,2026-Q2,167305685,260563771098.72,1729942,93583,1557.41134,5409.60333,18.48564,96.71173,150619.946275,1787.7786,8104,152707700,228558571072.33,1687374,90460,0.09559,0.1400306,0.02523,0.03452,0.30487,4.0,0.2702975,0.8055964653902798,0.9705449189985272,0.727540500736377,0.8748159057437408,84.11634756995582,84.46244477172313,79.55817378497791,0.9941089837997055,EXPAND,5,3,9
karnataka,dakshina kannada,karnataka|dakshina kannada,2026,2,8105,2026-Q2,65808357,80430221043.36,1572822,54458,1222.188559,3462.43885,28.88138,41.84094,51137.5229,1208.42405,8104,61858620,74690312418.29,1548592,53902,0.06385,0.0768494,0.01565,0.01032,0.268,4.0,0.183885,0.6303387334315169,0.8321060382916053,0.9410898379970545,0.8497790868924889,80.23564064801178,81.33284241531665,79.3961708394698,0.9852724594992637,EXPAND,11,8,10
gujarat,kachchh,gujarat|kachchh,2026,2,8105,2026-Q2,60579670,60581479510.03,1507864,60486,1000.02987,4011.36973,24.92914,40.17582,40177.018292,1001.54862,8104,58549681,60631815560.5,1442061,59063,0.03467,-0.0008302,0.04563,0.02409,0.27231,4.0,0.3166,0.6524300441826215,0.7525773195876289,0.9131075110456554,0.833578792341679,77.88659793814432,78.79234167893962,78.89543446244477,0.9764359351988218,EXPAND,17,15,11
bihar,bhagalpur,bihar|bhagalpur,2026,2,8105,2026-Q2,68065095,76007496069.88,1447411,80820,1116.688312,5583.76301,17.90907,47.02541,52512.725183,842.18133,8104,63018127,71337002761.79,1390690,78242,0.08009,0.0654708,0.04079,0.03295,0.30988,4.0,0.339785,0.8173784977908689,0.6597938144329897,0.6907216494845361,0.8144329896907216,74.57290132547864,74.55817378497791,77.23122238586156,0.9484536082474226,EXPAND,36,31,12
maharashtra,nanded,maharashtra|nanded,2026,2,8105,2026-Q2,131031097,173603862249.46,1764475,100568,1324.905814,5699.59903,17.54509,74.26067,98388.394423,1302.91044,8104,117254514,144323544842.0,1740406,97700,0.11749,0.2028797,0.01383,0.02936,0.30068,4.0,0.32542,0.7952871870397643,0.8733431516936672,0.6656848306332842,0.882179675994109,79.9779086892489,80.41237113402062,77.16494845360825,0.9837997054491899,EXPAND,12,11,13
