state,district,year,quarter,period_id,district_key,period_label,transaction_count,transaction_amount,registered_users,registered_merchants,average_transaction_value,merchants_per_100k_users,users_per_merchant,transactions_per_registered_user,tpv_per_registered_user,transactions_per_merchant,prior_period_id,prior_transactions,prior_tpv,prior_users,prior_merchants,transaction_qoq,tpv_qoq,user_qoq,merchant_qoq,transaction_yoy,positive_yoy_quarters_last4,average_yoy_last4,growth_percentile,intensity_percentile,low_penetration_percentile,scale_percentile,opportunity_score,equal_weight_score,no_intensity_score,opportunity_percentile,business_segment,opportunity_rank,equal_weight_rank,no_intensity_rank,investigation_rank
andhra pradesh,alluri sitharama raju,2026,2,8105,andhra pradesh|alluri sitharama raju,2026-Q2,22403546,28684114124.23,411684,11247,1280.3381270192674,2731.9497478648673,36.60389437183249,54.419277892752696,69675.07633094801,1991.9574997777186,8104,20991582,28683764783.17,403857,10865,0.06726334394425337,1.2179051900762516e-05,0.019380622348999843,0.03515876668200635,0.3787052917103264,4.0,0.2976276188080426,0.9823269513991163,0.9911634756995582,0.9720176730486009,0.2547864506627393,83.6450662739,80.0073637703,79.6833578792,0.9926362297496318,EXPAND,6,12,8,6
andhra pradesh,anakapalli,2026,2,8105,andhra pradesh|anakapalli,2026-Q2,97152961,137194912578.21,1005920,60549,1412.1536921371858,6019.265945602036,16.613321442137774,96.581200294258,136387.49858657748,1604.5345257559993,8104,91693396,131407990533.52,994246,59202,0.059541529032254514,0.044037824649741264,0.011741560941658236,0.02275260970913151,0.28688892090890605,4.0,0.269224678980296,0.7319587628865979,0.9499263622974963,0.5979381443298969,0.6715758468335787,74.086892489,73.7849779087,66.9955817378,0.9455081001472754,EXPAND,38,37,75,36
andhra pradesh,ananthapuramu,2026,2,8105,andhra pradesh|ananthapuramu,2026-Q2,140056538,199801031290.99,1555974,108540,1426.5741117418595,6975.694966625407,14.335489220563847,90.01213259347522,128408.97810052738,1290.3679565137277,8104,134752991,192433842365.95,1516713,106385,0.0393575456889117,0.03828426868403878,0.02588558283604092,0.02025661512431265,0.25250647666754644,4.0,0.26598842199941447,0.5169366715758469,0.8689248895434463,0.3858615611192931,0.8438880706921944,63.7555228277,65.3902798233,55.2798232695,0.812960235640648,DEFEND,128,106,250,118
andhra pradesh,annamayya,2026,2,8105,andhra pradesh|annamayya,2026-Q2,96492048,153851950124.25,1083722,50051,1594.4521161396638,4618.435355192568,21.652354598309724,89.03763880404753,141966.25160719262,1927.8745279814589,8104,90781521,142055350936.4,1063009,48188,0.06290406832906004,0.08304227267814435,0.01948525365260312,0.038661077446667136,0.2755989757933628,4.0,0.26314950439061763,0.6671575846833578,0.9837997054491899,0.833578792341679,0.7039764359351989,79.528718704,79.7128129602,73.4609720177,0.9823269513991163,EXPAND,13,13,25,13
andhra pradesh,bapatla,2026,2,8105,andhra pradesh|bapatla,2026-Q2,74429207,109531301288.45,832865,59133,1471.6172011405415,7099.950171996662,14.084605888421017,89.36527168268567,131511.47099283797,1258.6746317622985,8104,68137122,102063877842.65,827051,56499,0.09234444918292861,0.07316421444727372,0.007029796227802088,0.04662029416449842,0.29609663010937504,4.0,0.28187543543847926,0.7717231222385862,0.8527245949926362,0.36818851251840945,0.5832106038291606,65.3387334315,64.3961708395,58.3357879234,0.8409425625920471,DEVELOP,109,115,194,101
andhra pradesh,chittoor,2026,2,8105,andhra pradesh|chittoor,2026-Q2,96240891,140514197718.76,1126392,50979,1460.025943845013,4525.866660984808,22.095215677043488,85.44173875524685,124747.15526988829,1887.8536456187842,8104,91197763,132653914130.77,1104837,49320,0.05529881253775937,0.05925406452945925,0.01950966522663533,0.03363746958637459,0.24228225739184017,4.0,0.22738193366048276,0.45508100147275404,0.979381443298969,0.845360824742268,0.7201767304860088,73.6745213549,75.0,65.795287187,0.9396170839469808,EXPAND,42,27,94,40
andhra pradesh,dr br ambedkar konaseema,2026,2,8105,andhra pradesh|dr br ambedkar konaseema,2026-Q2,90739703,131195398848.15,930577,45653,1445.843379586001,4905.880974922011,20.383698771165093,97.50907555204996,140982.85133648262,1987.5956235077651,8104,84156459,122361798755.1,919295,43914,0.07822624761338881,0.07219246679047209,0.0122724479084515,0.03960012752197484,0.3295914408846017,4.0,0.33146865432645223,0.9086892488954345,0.9896907216494846,0.8070692194403535,0.6406480117820325,84.9926362297,83.6524300442,80.6111929308,0.9970544918998527,EXPAND,3,5,6,3
andhra pradesh,east godavari,2026,2,8105,andhra pradesh|east godavari,2026-Q2,137797638,199632453172.06,1370485,74989,1448.7363939580734,5471.712568908088,18.27581378602195,100.54662254603298,145665.55137200333,1837.571350464735,8104,127045400,183870485589.45,1339657,73104,0.08463303669396915,0.08572320637583819,0.02301186049862025,0.025785182753337743,0.32186243402769366,4.0,0.29553518156838215,0.8748159057437408,0.9764359351988218,0.7172312223858616,0.7952871870397643,84.4918998527,84.0942562592,79.9779086892,0.9955817378497791,EXPAND,4,4,7,4
andhra pradesh,eluru,2026,2,8105,andhra pradesh|eluru,2026-Q2,131965615,190892439048.95,1279217,67639,1446.5316518166494,5287.531357072334,18.912417392332827,103.16124238499019,149226.0023506176,1951.0284746965508,8104,121039764,175237412785.24,1255721,65450,0.09026662510677075,0.08933609561387357,0.01871116275032425,0.033445378151260474,0.29155981607310877,4.0,0.28193611228244425,0.7466863033873343,0.9882179675994109,0.7466863033873343,0.7790868924889544,81.3549337261,81.5169366716,75.4786450663,0.9896907216494846,EXPAND,8,7,21,8
andhra pradesh,guntur,2026,2,8105,andhra pradesh|guntur,2026-Q2,198471270,269685684581.66,2002926,132072,1358.8147270970755,6593.953046692689,15.165409776485554,99.09066535658332,134645.8554043734,1502.750545157187,8104,187148603,253980691397.49,1949876,127784,0.06050094319966681,0.06183538243697062,0.027206858282270208,0.03355662680773808,0.31367338522430255,4.0,0.29181436171464037,0.8379970544918999,0.9219440353460973,0.4683357879234168,0.9027982326951399,77.9528718704,78.2768777614,72.4815905744,0.9779086892488954,DEFEND,16,17,30,16
