period_id,year,quarter,period_label,transaction_count,transaction_amount,registered_users,registered_merchants,average_transaction_value,transaction_qoq,tpv_qoq
8072,2018,1,2018-Q1,139978472.0,172523270810.37,47483331.0,,1232.498600287407,,
8073,2018,2,2018-Q2,193648476.0,305279798418.16,64487449.0,,1576.4637281119628,0.3834161298745995,0.7694992506472367
8074,2018,3,2018-Q3,347025910.0,476033348896.42,80451695.0,,1371.7516046465232,0.792040490935751,0.5593345886725485
8075,2018,4,2018-Q4,428390875.0,673283248301.33,103041018.0,,1571.6563717687263,0.23446366007656305,0.41436151450773573
8076,2019,1,2019-Q1,720286340.0,992293635817.2,124474095.0,,1377.6377264314078,0.6813764765647727,0.47381304721411377
8077,2019,2,2019-Q2,827651243.0,1356993358740.02,142792343.0,,1639.5714622759529,0.1490586410398953,0.36753205881691753
8078,2019,3,2019-Q3,1105941812.0,1675692830348.19,161077774.0,7174622.0,1515.1726900693307,0.336241347250656,0.23485706068899637
8079,2019,4,2019-Q4,1470544201.0,2263089993906.72,179919543.0,8730394.0,1538.9472770473494,0.32967592421580316,0.3505398799352002
8080,2020,1,2020-Q1,1632700391.0,2700008001205.06,199439769.0,10191200.0,1653.7069606208356,0.11026951103525517,0.19306258631990958
8081,2020,2,2020-Q2,1460073590.0,2648632512846.53,220938543.0,10814817.0,1814.0404230217805,-0.10573085052933018,-0.01902790226384532
8082,2020,3,2020-Q3,2048019938.0,3905742739622.19,243215163.0,12747549.0,1907.0823809637102,0.402682681220198,0.4746261403491656
8083,2020,4,2020-Q4,2881872698.0,5399818617932.3,266217911.0,15655589.0,1873.718648877078,0.40715070421350563,0.38253310008191543
8084,2021,1,2021-Q1,3465701161.0,6288245735690.95,287013158.0,18606666.0,1814.4223761856397,0.20258648600445572,0.164529066737217
8085,2021,2,2021-Q2,3950564961.0,7480775299428.44,306887085.0,20165241.0,1893.5963269250594,0.13990352239721005,0.18964423686067278
8086,2021,3,2021-Q3,5272656661.0,9221901249221.3,329261090.0,22890624.0,1749.0046938638131,0.33465889386750924,0.2327467247847812
8087,2021,4,2021-Q4,5764603037.0,10098111408966.53,351735253.0,25772309.0,1751.7444556289452,0.09330142424003363,0.09501404711086181
8088,2022,1,2022-Q1,7423558782.0,12902637273132.56,373458895.0,28969860.0,1738.0662903104846,0.28778317159950517,0.27772776023007406
8089,2022,2,2022-Q2,8953703516.0,15095588957109.4,393808126.0,31234187.0,1685.9603325187209,0.2061201074759671,0.16996150767899754
8090,2022,3,2022-Q3,10537204847.0,16583731033669.48,415288831.0,33142892.0,1573.826387022452,0.1768543405720695,0.09858125315867361
8091,2022,4,2022-Q4,11726259964.0,18384353717137.94,435986267.0,34914715.0,1567.7934630119498,0.11284350397140952,0.10857765841792211
8092,2023,1,2023-Q1,13096484122.0,20524853702591.99,455409990.0,34943184.0,1567.2033433853835,0.11685091087922594,0.11643052665259956
8093,2023,2,2023-Q2,15116188269.0,22928170083465.35,473707081.0,35719392.0,1516.7957474098162,0.15421727909456395,0.11709298471490981
8094,2023,3,2023-Q3,17048164659.0,24021457041140.0,493224570.0,36887945.0,1409.0347859503274,0.12780843659919627,0.04768313187204898
8095,2023,4,2023-Q4,19035135042.0,27128080651159.3,512970015.0,38058561.0,1425.158297606119,0.1165503984002787,0.12932702644551441
8096,2024,1,2024-Q1,21249834578.0,29516491410619.08,534970739.0,39484149.0,1389.0221734327083,0.11634798130474966,0.08804201042353177
8097,2024,2,2024-Q2,24032135939.0,31829694445437.05,556801420.0,40872218.0,1324.463814878101,0.13093284800816862,0.07836985103133753
8098,2024,3,2024-Q3,25827563643.0,32356700509486.27,578589126.0,42251032.0,1252.797242385495,0.07470945190045852,0.016557056963038663
8099,2024,4,2024-Q4,28223944837.0,36009328069703.15,598686585.0,43635883.0,1275.8431990164943,0.09278386560667662,0.11288628020480673
8100,2025,1,2025-Q1,29508297215.0,37332030060226.09,618397806.0,44874862.0,1265.1367101334822,0.04550577126682476,0.036732204165614846
8101,2025,2,2025-Q2,31134210599.0,38419462580115.19,637393317.0,46011340.0,1233.9950761863602,0.055100210362985624,0.02912867363855609
8102,2025,3,2025-Q3,33007997900.0,38147339254577.15,657562800.0,47192762.0,1155.6998812877757,0.060184191760435546,-0.007082955024958704
8103,2025,4,2025-Q4,34893534253.0,41477903742783.77,676844921.0,48650084.0,1188.6988415115238,0.057123620727084434,0.08730791067707311
8104,2026,1,2026-Q1,36251699085.0,43446066746720.36,694567756.0,49642630.0,1198.4560129127078,0.03892310885313166,0.04745087929567804
8105,2026,2,2026-Q2,38664285691.0,45496453556876.72,711653262.0,50705249.0,1176.7048774799184,0.06655099393667485,0.04719384201358423
