state,year,quarter,period_id,period_label,transaction_count,transaction_amount,registered_users,registered_merchants,average_transaction_value,merchants_per_100k_users,users_per_merchant,transactions_per_registered_user,tpv_per_registered_user,transactions_per_merchant,prior_period_id,prior_transactions,prior_tpv,prior_users,prior_merchants,transaction_qoq,tpv_qoq,user_qoq,merchant_qoq,transaction_yoy
andaman & nicobar islands,2018,1,8072,2018-Q1,9089,18569126.2,9292,,2043.0329189129716,,,0.9781532501076194,1998.3992897115797,,,,,,,,,,,
andaman & nicobar islands,2018,2,8073,2018-Q2,15062,35517275.86,12739,,2358.071694330102,,,1.1823534029358662,2788.07409215794,,8072.0,9089.0,18569126.2,9292.0,,0.6571680052811091,0.9127058256516132,0.3709642703400775,,
andaman & nicobar islands,2018,3,8074,2018-Q3,21154,67343424.71,15949,,3183.484197314928,,,1.3263527493886764,4222.423017744059,,8073.0,15062.0,35517275.86,12739.0,,0.40446155888992164,0.8960751656588337,0.2519821022058246,,
andaman & nicobar islands,2018,4,8075,2018-Q4,31139,107983057.52,20050,,3467.775378785446,,,1.553067331670823,5385.688654364089,,8074.0,21154.0,67343424.71,15949.0,,0.4720147489836437,0.6034684601355791,0.2571321085961502,,
andaman & nicobar islands,2019,1,8076,2019-Q1,40726,126352730.02,24369,5.0,3102.5077351077935,20.517871065698223,4873.8,1.6712216340432517,5184.978046698674,8145.2,8075.0,31139.0,107983057.52,20050.0,,0.3078775811683099,0.17011624713995221,0.2154114713216957,,3.4808009682033223
andaman & nicobar islands,2019,2,8077,2019-Q2,46764,163354796.04,28099,9.0,3493.1741519117268,32.029609594647496,3122.1111111111113,1.6642585145378839,5813.544825082743,5196.0,8076.0,40726.0,126352730.02,24369.0,5.0,0.14825909738250753,0.29284738061570215,0.15306331815010865,0.8,2.104766963218696
andaman & nicobar islands,2019,3,8078,2019-Q3,40623,151428296.95,31181,22.0,3727.6492861187007,70.55578717808922,1417.3181818181818,1.3028126102434174,4856.428496520317,1846.5,8077.0,46764.0,163354796.04,28099.0,9.0,-0.1313189633051065,-0.0730097883816011,0.10968361863411502,1.4444444444444446,0.9203460338470266
andaman & nicobar islands,2019,4,8079,2019-Q4,41665,170840663.9,33871,34.0,4100.339947197888,100.3808567801364,996.2058823529412,1.2301083522777598,5043.86241622627,1225.4411764705883,8078.0,40623.0,151428296.95,31181.0,22.0,0.025650493562759946,0.12819510845063364,0.08627048523139091,0.5454545454545454,0.3380326921224188
andaman & nicobar islands,2020,1,8080,2020-Q1,49104,181027348.66,36875,55.0,3686.611043092212,149.15254237288136,670.4545454545455,1.3316338983050848,4909.216234847458,892.8,8079.0,41665.0,170840663.9,33871.0,34.0,0.1785431417256691,0.05962681558040939,0.08868943934339102,0.6176470588235294,0.20571625006138583
andaman & nicobar islands,2020,2,8081,2020-Q2,78685,197252557.32,41393,67.0,2506.8635358708775,161.86311695214167,617.8059701492538,1.900925277220786,4765.360261880028,1174.402985074627,8080.0,49104.0,181027348.66,36875.0,55.0,0.6024152818507658,0.08962849414799567,0.12252203389830507,0.21818181818181825,0.6825977247455308
andaman & nicobar islands,2020,3,8082,2020-Q3,143989,392083841.72,50005,76.0,2723.0124642854666,151.98480151984802,657.9605263157895,2.8794920507949207,7840.892745125488,1894.592105263158,8081.0,78685.0,197252557.32,41393.0,67.0,0.8299421744932325,0.987725011260199,0.20805450196893194,0.13432835820895517,2.5445191147871897
andaman & nicobar islands,2020,4,8083,2020-Q4,272005,732159322.5,61520,187.0,2691.712735060017,303.9661898569571,328.98395721925135,4.42140767230169,11901.159338426529,1454.572192513369,8082.0,143989.0,392083841.72,50005.0,76.0,0.8890679149101668,0.8673539804347741,0.23027697230276978,1.460526315789474,5.52838113524541
andaman & nicobar islands,2021,1,8084,2021-Q1,316270,962447873.37,69111,329.0,3043.1209832421664,476.0457814240859,210.06382978723406,4.576261376626007,13926.117020011287,961.306990881459,8083.0,272005.0,732159322.5,61520.0,187.0,0.16273597911803095,0.31453338609917103,0.12339076723016906,0.7593582887700534,5.440819485174324
andaman & nicobar islands,2021,2,8085,2021-Q2,457972,1105731027.18,77369,406.0,2414.4074903705905,524.7579780015252,190.564039408867,5.919321692150603,14291.654631441534,1128.0098522167489,8084.0,316270.0,962447873.37,69111.0,329.0,0.4480412305941126,0.14887367697982,0.11948893808510941,0.23404255319148937,4.820321535235433
andaman & nicobar islands,2021,3,8086,2021-Q3,587428,1530805193.85,85547,589.0,2605.945228776973,688.5104094825067,145.24108658743634,6.866728231264685,17894.31767157235,997.3310696095076,8085.0,457972.0,1105731027.18,77369.0,406.0,0.28267230311023384,0.3844281802909042,0.10570124985459284,0.4507389162561577,3.079672752779726
andaman & nicobar islands,2021,4,8087,2021-Q4,722741,2012194678.69,94375,1110.0,2784.1158571189403,1176.158940397351,85.02252252252252,7.658182781456953,21321.268118569536,651.118018018018,8086.0,587428.0,1530805193.85,85547.0,589.0,0.23034822991072956,0.3144681549121857,0.10319473505792143,0.8845500848896435,1.6570871858973182
