state,year,quarter,period_id,category_raw,transactions
india,2018,1,8072,Retail,89921478
india,2018,1,8072,Utility,2955878
india,2018,1,8072,P2P,47101116
india,2018,2,8073,P2P,74704527
india,2018,2,8073,Retail,111138041
india,2018,2,8073,Utility,7805908
india,2018,3,8074,P2P,202136497
india,2018,3,8074,Retail,133122344
india,2018,3,8074,Utility,11767069
india,2018,4,8075,P2P,200253637
india,2018,4,8075,Utility,15890009
india,2018,4,8075,Retail,212247229
india,2019,1,8076,P2P,404853333
india,2019,1,8076,Retail,290431981
india,2019,1,8076,Utility,25001026
india,2019,2,8077,P2P,384919116
india,2019,2,8077,Retail,414986396
india,2019,2,8077,Utility,27745731
india,2019,3,8078,P2P,462141725
india,2019,3,8078,Retail,591714936
india,2019,3,8078,Utility,52085151
india,2019,4,8079,P2P,703745511
india,2019,4,8079,Utility,106511932
india,2019,4,8079,Retail,660286758
india,2020,1,8080,P2P,694257483
india,2020,1,8080,Retail,778526397
india,2020,1,8080,Utility,159916511
india,2020,2,8081,P2P,631268435
india,2020,2,8081,Retail,610011327
india,2020,2,8081,Utility,218793828
india,2020,3,8082,P2P,917047650
india,2020,3,8082,Retail,911011891
india,2020,3,8082,Utility,219960397
india,2020,4,8083,P2P,1249592359
india,2020,4,8083,Utility,288560685
india,2020,4,8083,Retail,1343719654
india,2021,1,8084,Retail,1485134324
india,2021,1,8084,Utility,532828981
india,2021,1,8084,P2P,1447737856
india,2021,2,8085,P2P,1744381804
india,2021,2,8085,Retail,1473347416
india,2021,2,8085,Utility,732835741
india,2021,3,8086,P2P,2215589893
india,2021,3,8086,Retail,2278944000
india,2021,3,8086,Utility,778122768
india,2021,4,8087,P2P,2357658301
india,2021,4,8087,Utility,698907805
india,2021,4,8087,Retail,2708036931
india,2022,1,8088,Retail,3643052357
india,2022,1,8088,Utility,776357606
india,2022,1,8088,P2P,3004148819
india,2022,2,8089,P2P,3425101859
india,2022,2,8089,Retail,4617039926
india,2022,2,8089,Utility,911561731
india,2022,3,8090,P2P,3947241409
india,2022,3,8090,Retail,5549687895
india,2022,3,8090,Utility,1040275543
india,2022,4,8091,P2P,4324963928
india,2022,4,8091,Retail,6322053632
india,2022,4,8091,Utility,1079242404
india,2023,1,8092,Retail,7131649041
india,2023,1,8092,Utility,1172364563
india,2023,1,8092,P2P,4792470518
india,2023,2,8093,P2P,5374551578
india,2023,2,8093,Retail,8425354748
india,2023,2,8093,Utility,1316281943
india,2023,3,8094,P2P,5929670663
india,2023,3,8094,Retail,9741914217
india,2023,3,8094,Utility,1376579779
india,2023,4,8095,P2P,6647630864
india,2023,4,8095,Retail,10978328265
india,2023,4,8095,Utility,1409175913
india,2024,1,8096,Retail,12362025799
india,2024,1,8096,Utility,1551676514
india,2024,1,8096,P2P,7336132265
india,2024,2,8097,P2P,7929913581
india,2024,2,8097,Retail,14417003150
india,2024,2,8097,Utility,1685219208
india,2024,3,8098,P2P,8566987345
india,2024,3,8098,Retail,15529951447
india,2024,3,8098,Utility,1730624851
india,2024,4,8099,P2P,9368201927
india,2024,4,8099,Utility,1767462539
india,2024,4,8099,Retail,17088280371
india,2025,1,8100,P2P,9746733751
india,2025,1,8100,Retail,17844086266
india,2025,1,8100,Utility,1917477198
india,2025,2,8101,P2P,9900005748
india,2025,2,8101,Retail,19304029989
india,2025,2,8101,Utility,1930174862
india,2025,3,8102,P2P,10422073985
india,2025,3,8102,Retail,20635151288
india,2025,3,8102,Utility,1950772627
india,2025,4,8103,P2P,11083827632
india,2025,4,8103,Utility,1977344265
india,2025,4,8103,Retail,21832362356
india,2026,1,8104,P2P,11518262185
india,2026,1,8104,Retail,22674188870
india,2026,1,8104,Utility,2059248030
india,2026,2,8105,P2P,11889781621
india,2026,2,8105,Retail,24691181013
india,2026,2,8105,Utility,2083323057
andaman & nicobar islands,2018,1,8072,P2P,2297
andaman & nicobar islands,2018,1,8072,Retail,6656
andaman & nicobar islands,2018,1,8072,Utility,136
andaman & nicobar islands,2018,2,8073,P2P,4383
andaman & nicobar islands,2018,2,8073,Retail,10462
andaman & nicobar islands,2018,2,8073,Utility,217
andaman & nicobar islands,2018,3,8074,P2P,7608
andaman & nicobar islands,2018,3,8074,Utility,408
andaman & nicobar islands,2018,3,8074,Retail,13138
andaman & nicobar islands,2018,4,8075,P2P,12260
andaman & nicobar islands,2018,4,8075,Retail,18359
andaman & nicobar islands,2018,4,8075,Utility,520
andaman & nicobar islands,2019,1,8076,P2P,15423
andaman & nicobar islands,2019,1,8076,Retail,24638
andaman & nicobar islands,2019,1,8076,Utility,665
andaman & nicobar islands,2019,2,8077,P2P,18528
andaman & nicobar islands,2019,2,8077,Retail,27418
andaman & nicobar islands,2019,2,8077,Utility,818
andaman & nicobar islands,2019,3,8078,P2P,17346
andaman & nicobar islands,2019,3,8078,Utility,1570
andaman & nicobar islands,2019,3,8078,Retail,21707
andaman & nicobar islands,2019,4,8079,P2P,19490
andaman & nicobar islands,2019,4,8079,Retail,18325
andaman & nicobar islands,2019,4,8079,Utility,3850
andaman & nicobar islands,2020,1,8080,P2P,19682
andaman & nicobar islands,2020,1,8080,Retail,23473
andaman & nicobar islands,2020,1,8080,Utility,5949
andaman & nicobar islands,2020,2,8081,P2P,23455
andaman & nicobar islands,2020,2,8081,Retail,43610
andaman & nicobar islands,2020,2,8081,Utility,11620
andaman & nicobar islands,2020,3,8082,P2P,48650
andaman & nicobar islands,2020,3,8082,Retail,76639
andaman & nicobar islands,2020,3,8082,Utility,18700
andaman & nicobar islands,2020,4,8083,P2P,95937
andaman & nicobar islands,2020,4,8083,Retail,132834
andaman & nicobar islands,2020,4,8083,Utility,43234
andaman & nicobar islands,2021,1,8084,P2P,130833
andaman & nicobar islands,2021,1,8084,Retail,86168
andaman & nicobar islands,2021,1,8084,Utility,99269
andaman & nicobar islands,2021,2,8085,P2P,167435
andaman & nicobar islands,2021,2,8085,Retail,123565
andaman & nicobar islands,2021,2,8085,Utility,166972
andaman & nicobar islands,2021,3,8086,P2P,231422
andaman & nicobar islands,2021,3,8086,Retail,169369
andaman & nicobar islands,2021,3,8086,Utility,186637
andaman & nicobar islands,2021,4,8087,P2P,300209
andaman & nicobar islands,2021,4,8087,Retail,259587
andaman & nicobar islands,2021,4,8087,Utility,162945
andaman & nicobar islands,2022,1,8088,P2P,397423
andaman & nicobar islands,2022,1,8088,Retail,396140
andaman & nicobar islands,2022,1,8088,Utility,204932
andaman & nicobar islands,2022,2,8089,P2P,537340
andaman & nicobar islands,2022,2,8089,Retail,629016
andaman & nicobar islands,2022,2,8089,Utility,253200
andaman & nicobar islands,2022,3,8090,P2P,698789
andaman & nicobar islands,2022,3,8090,Retail,866124
andaman & nicobar islands,2022,3,8090,Utility,312058
andaman & nicobar islands,2022,4,8091,P2P,822471
andaman & nicobar islands,2022,4,8091,Retail,1130336
andaman & nicobar islands,2022,4,8091,Utility,310348
andaman & nicobar islands,2023,1,8092,P2P,882980
andaman & nicobar islands,2023,1,8092,Retail,1254352
andaman & nicobar islands,2023,1,8092,Utility,312565
andaman & nicobar islands,2023,2,8093,P2P,997058
andaman & nicobar islands,2023,2,8093,Retail,1593082
andaman & nicobar islands,2023,2,8093,Utility,349028
andaman & nicobar islands,2023,3,8094,P2P,1138133
andaman & nicobar islands,2023,3,8094,Utility,360081
andaman & nicobar islands,2023,3,8094,Retail,1795799
andaman & nicobar islands,2023,4,8095,P2P,1353803
andaman & nicobar islands,2023,4,8095,Retail,2204624
andaman & nicobar islands,2023,4,8095,Utility,362786
andaman & nicobar islands,2024,1,8096,P2P,1467728
andaman & nicobar islands,2024,1,8096,Retail,2483253
andaman & nicobar islands,2024,1,8096,Utility,377365
andaman & nicobar islands,2024,2,8097,P2P,1548283
andaman & nicobar islands,2024,2,8097,Retail,2830230
andaman & nicobar islands,2024,2,8097,Utility,417077
andaman & nicobar islands,2024,3,8098,P2P,1730844
andaman & nicobar islands,2024,3,8098,Utility,434919
andaman & nicobar islands,2024,3,8098,Retail,3128743
andaman & nicobar islands,2024,4,8099,P2P,1988874
andaman & nicobar islands,2024,4,8099,Retail,3637868
andaman & nicobar islands,2024,4,8099,Utility,453059
andaman & nicobar islands,2025,1,8100,P2P,2042168
andaman & nicobar islands,2025,1,8100,Retail,3813109
andaman & nicobar islands,2025,1,8100,Utility,476805
andaman & nicobar islands,2025,2,8101,P2P,1943344
andaman & nicobar islands,2025,2,8101,Retail,3953793
andaman & nicobar islands,2025,2,8101,Utility,478132
andaman & nicobar islands,2025,3,8102,P2P,2062721
andaman & nicobar islands,2025,3,8102,Utility,484457
andaman & nicobar islands,2025,3,8102,Retail,4184644
andaman & nicobar islands,2025,4,8103,P2P,2368365
andaman & nicobar islands,2025,4,8103,Retail,4719538
andaman & nicobar islands,2025,4,8103,Utility,521632
andaman & nicobar islands,2026,1,8104,P2P,2444181
andaman & nicobar islands,2026,1,8104,Retail,4993199
andaman & nicobar islands,2026,1,8104,Utility,527121
andaman & nicobar islands,2026,2,8105,P2P,2318395
andaman & nicobar islands,2026,2,8105,Retail,4915599
andaman & nicobar islands,2026,2,8105,Utility,519101
andhra pradesh,2018,1,8072,P2P,3470494
andhra pradesh,2018,1,8072,Retail,6888562
andhra pradesh,2018,1,8072,Utility,503773
andhra pradesh,2018,2,8073,P2P,5367902
andhra pradesh,2018,2,8073,Retail,8191674
andhra pradesh,2018,2,8073,Utility,1137792
andhra pradesh,2018,3,8074,P2P,17848404
andhra pradesh,2018,3,8074,Retail,9823208
andhra pradesh,2018,3,8074,Utility,1591118
andhra pradesh,2018,4,8075,P2P,19562957
andhra pradesh,2018,4,8075,Utility,1916648
andhra pradesh,2018,4,8075,Retail,14242724
andhra pradesh,2019,1,8076,P2P,43527491
andhra pradesh,2019,1,8076,Retail,21565529
andhra pradesh,2019,1,8076,Utility,2888424
andhra pradesh,2019,2,8077,P2P,41431019
andhra pradesh,2019,2,8077,Retail,29006645
andhra pradesh,2019,2,8077,Utility,2803995
andhra pradesh,2019,3,8078,P2P,49997866
andhra pradesh,2019,3,8078,Retail,38574125
andhra pradesh,2019,3,8078,Utility,4461164
andhra pradesh,2019,4,8079,P2P,73565940
andhra pradesh,2019,4,8079,Retail,48905204
andhra pradesh,2019,4,8079,Utility,8291836
andhra pradesh,2020,1,8080,P2P,86063489
andhra pradesh,2020,1,8080,Retail,58613484
andhra pradesh,2020,1,8080,Utility,14509601
andhra pradesh,2020,2,8081,P2P,94711506
andhra pradesh,2020,2,8081,Retail,58995509
andhra pradesh,2020,2,8081,Utility,22577871
andhra pradesh,2020,3,8082,P2P,136309737
andhra pradesh,2020,3,8082,Retail,90557252
andhra pradesh,2020,3,8082,Utility,24510120
andhra pradesh,2020,4,8083,P2P,178466683
andhra pradesh,2020,4,8083,Utility,29154133
andhra pradesh,2020,4,8083,Retail,118472460
andhra pradesh,2021,1,8084,P2P,187035752
andhra pradesh,2021,1,8084,Retail,122228605
andhra pradesh,2021,1,8084,Utility,51307542
andhra pradesh,2021,2,8085,Retail,137701586
andhra pradesh,2021,2,8085,Utility,69008588
andhra pradesh,2021,2,8085,P2P,244005532
andhra pradesh,2021,3,8086,P2P,283896229
andhra pradesh,2021,3,8086,Retail,195005296
andhra pradesh,2021,3,8086,Utility,73567732
andhra pradesh,2021,4,8087,P2P,288996866
andhra pradesh,2021,4,8087,Retail,223299270
andhra pradesh,2021,4,8087,Utility,64264055
andhra pradesh,2022,1,8088,P2P,359825164
andhra pradesh,2022,1,8088,Retail,295596425
andhra pradesh,2022,1,8088,Utility,70133038
andhra pradesh,2022,2,8089,P2P,402016237
andhra pradesh,2022,2,8089,Retail,357185042
andhra pradesh,2022,2,8089,Utility,81131062
andhra pradesh,2022,3,8090,P2P,442266221
andhra pradesh,2022,3,8090,Retail,425082142
andhra pradesh,2022,3,8090,Utility,89069693
andhra pradesh,2022,4,8091,P2P,470505491
andhra pradesh,2022,4,8091,Utility,91912723
andhra pradesh,2022,4,8091,Retail,468020065
andhra pradesh,2023,1,8092,P2P,515228601
andhra pradesh,2023,1,8092,Retail,526737073
andhra pradesh,2023,1,8092,Utility,96759239
andhra pradesh,2023,2,8093,Retail,613447829
andhra pradesh,2023,2,8093,Utility,107815790
andhra pradesh,2023,2,8093,P2P,573773696
andhra pradesh,2023,3,8094,P2P,623522468
andhra pradesh,2023,3,8094,Retail,730559498
andhra pradesh,2023,3,8094,Utility,113563012
andhra pradesh,2023,4,8095,P2P,673686762
andhra pradesh,2023,4,8095,Retail,800499764
andhra pradesh,2023,4,8095,Utility,114111280
andhra pradesh,2024,1,8096,P2P,722183330
andhra pradesh,2024,1,8096,Retail,907194749
andhra pradesh,2024,1,8096,Utility,120349511
andhra pradesh,2024,2,8097,Retail,1043588059
andhra pradesh,2024,2,8097,Utility,128360994
andhra pradesh,2024,2,8097,P2P,748936609
andhra pradesh,2024,3,8098,P2P,803007628
andhra pradesh,2024,3,8098,Retail,1154960340
andhra pradesh,2024,3,8098,Utility,128090297
andhra pradesh,2024,4,8099,P2P,872939105
andhra pradesh,2024,4,8099,Retail,1284541504
andhra pradesh,2024,4,8099,Utility,135289441
andhra pradesh,2025,1,8100,P2P,926759367
andhra pradesh,2025,1,8100,Retail,1349213113
andhra pradesh,2025,1,8100,Utility,146913770
andhra pradesh,2025,2,8101,P2P,935539501
andhra pradesh,2025,2,8101,Retail,1445602514
andhra pradesh,2025,2,8101,Utility,149776958
andhra pradesh,2025,3,8102,P2P,979073292
andhra pradesh,2025,3,8102,Retail,1575163628
