state,period_id,category_minus_map_count
andaman & nicobar islands,8072,0
andaman & nicobar islands,8073,0
andaman & nicobar islands,8074,0
andaman & nicobar islands,8075,0
andaman & nicobar islands,8076,0
andaman & nicobar islands,8077,0
andaman & nicobar islands,8078,0
andaman & nicobar islands,8079,0
andaman & nicobar islands,8080,0
andaman & nicobar islands,8081,0
andaman & nicobar islands,8082,0
andaman & nicobar islands,8083,0
andaman & nicobar islands,8084,0
andaman & nicobar islands,8085,0
andaman & nicobar islands,8086,0
andaman & nicobar islands,8087,0
andaman & nicobar islands,8088,0
andaman & nicobar islands,8089,0
andaman & nicobar islands,8090,0
andaman & nicobar islands,8091,0
andaman & nicobar islands,8092,0
andaman & nicobar islands,8093,0
andaman & nicobar islands,8094,0
andaman & nicobar islands,8095,0
andaman & nicobar islands,8096,0
andaman & nicobar islands,8097,0
andaman & nicobar islands,8098,0
andaman & nicobar islands,8099,0
andaman & nicobar islands,8100,0
andaman & nicobar islands,8101,0
andaman & nicobar islands,8102,0
andaman & nicobar islands,8103,0
andaman & nicobar islands,8104,0
andaman & nicobar islands,8105,0
andhra pradesh,8072,0
andhra pradesh,8073,0
andhra pradesh,8074,0
andhra pradesh,8075,0
andhra pradesh,8076,0
andhra pradesh,8077,0
andhra pradesh,8078,0
andhra pradesh,8079,0
andhra pradesh,8080,0
andhra pradesh,8081,0
andhra pradesh,8082,0
andhra pradesh,8083,0
andhra pradesh,8084,0
andhra pradesh,8085,0
andhra pradesh,8086,0
andhra pradesh,8087,0
andhra pradesh,8088,0
andhra pradesh,8089,0
andhra pradesh,8090,0
andhra pradesh,8091,0
andhra pradesh,8092,0
andhra pradesh,8093,0
andhra pradesh,8094,0
andhra pradesh,8095,0
andhra pradesh,8096,0
andhra pradesh,8097,0
andhra pradesh,8098,0
andhra pradesh,8099,0
andhra pradesh,8100,0
andhra pradesh,8101,0
andhra pradesh,8102,0
andhra pradesh,8103,0
andhra pradesh,8104,0
andhra pradesh,8105,0
arunachal pradesh,8072,0
arunachal pradesh,8073,0
arunachal pradesh,8074,0
arunachal pradesh,8075,0
