state,district,year,quarter,period_id,registered_merchants
andaman & nicobar islands,nicobar,2019,2,8077,1
andaman & nicobar islands,nicobar,2019,3,8078,2
andaman & nicobar islands,nicobar,2019,4,8079,2
andaman & nicobar islands,nicobar,2020,1,8080,2
andaman & nicobar islands,nicobar,2020,2,8081,3
andaman & nicobar islands,nicobar,2020,3,8082,3
andaman & nicobar islands,nicobar,2020,4,8083,4
andaman & nicobar islands,nicobar,2021,1,8084,4
andaman & nicobar islands,nicobar,2021,2,8085,7
andaman & nicobar islands,nicobar,2021,3,8086,8
andaman & nicobar islands,nicobar,2021,4,8087,11
andaman & nicobar islands,nicobar,2022,1,8088,15
andaman & nicobar islands,nicobar,2022,2,8089,17
andaman & nicobar islands,nicobar,2022,3,8090,22
andaman & nicobar islands,nicobar,2022,4,8091,27
andaman & nicobar islands,nicobar,2023,1,8092,28
andaman & nicobar islands,nicobar,2023,2,8093,28
andaman & nicobar islands,nicobar,2023,3,8094,29
andaman & nicobar islands,nicobar,2023,4,8095,29
andaman & nicobar islands,nicobar,2024,1,8096,26
andaman & nicobar islands,nicobar,2024,2,8097,26
andaman & nicobar islands,nicobar,2024,3,8098,26
andaman & nicobar islands,nicobar,2024,4,8099,26
andaman & nicobar islands,nicobar,2025,1,8100,26
andaman & nicobar islands,nicobar,2025,2,8101,26
andaman & nicobar islands,nicobar,2025,3,8102,26
andaman & nicobar islands,nicobar,2025,4,8103,26
andaman & nicobar islands,nicobar,2026,1,8104,28
andaman & nicobar islands,nicobar,2026,2,8105,28
andaman & nicobar islands,north and middle andaman,2019,1,8076,2
andaman & nicobar islands,north and middle andaman,2019,2,8077,3
andaman & nicobar islands,north and middle andaman,2019,3,8078,5
andaman & nicobar islands,north and middle andaman,2019,4,8079,8
andaman & nicobar islands,north and middle andaman,2020,1,8080,14
andaman & nicobar islands,north and middle andaman,2020,2,8081,19
andaman & nicobar islands,north and middle andaman,2020,3,8082,20
andaman & nicobar islands,north and middle andaman,2020,4,8083,23
andaman & nicobar islands,north and middle andaman,2021,1,8084,24
andaman & nicobar islands,north and middle andaman,2021,2,8085,29
andaman & nicobar islands,north and middle andaman,2021,3,8086,32
andaman & nicobar islands,north and middle andaman,2021,4,8087,44
andaman & nicobar islands,north and middle andaman,2022,1,8088,53
andaman & nicobar islands,north and middle andaman,2022,2,8089,64
andaman & nicobar islands,north and middle andaman,2022,3,8090,85
andaman & nicobar islands,north and middle andaman,2022,4,8091,94
andaman & nicobar islands,north and middle andaman,2023,1,8092,95
andaman & nicobar islands,north and middle andaman,2023,2,8093,96
andaman & nicobar islands,north and middle andaman,2023,3,8094,101
andaman & nicobar islands,north and middle andaman,2023,4,8095,101
andaman & nicobar islands,north and middle andaman,2024,1,8096,112
andaman & nicobar islands,north and middle andaman,2024,2,8097,114
andaman & nicobar islands,north and middle andaman,2024,3,8098,116
andaman & nicobar islands,north and middle andaman,2024,4,8099,116
andaman & nicobar islands,north and middle andaman,2025,1,8100,119
andaman & nicobar islands,north and middle andaman,2025,2,8101,137
andaman & nicobar islands,north and middle andaman,2025,3,8102,210
andaman & nicobar islands,north and middle andaman,2025,4,8103,326
andaman & nicobar islands,north and middle andaman,2026,1,8104,399
andaman & nicobar islands,north and middle andaman,2026,2,8105,444
andaman & nicobar islands,south andaman,2019,1,8076,3
andaman & nicobar islands,south andaman,2019,2,8077,5
andaman & nicobar islands,south andaman,2019,3,8078,15
andaman & nicobar islands,south andaman,2019,4,8079,24
andaman & nicobar islands,south andaman,2020,1,8080,39
andaman & nicobar islands,south andaman,2020,2,8081,45
andaman & nicobar islands,south andaman,2020,3,8082,53
andaman & nicobar islands,south andaman,2020,4,8083,160
andaman & nicobar islands,south andaman,2021,1,8084,301
andaman & nicobar islands,south andaman,2021,2,8085,370
andaman & nicobar islands,south andaman,2021,3,8086,549
andaman & nicobar islands,south andaman,2021,4,8087,1055
andaman & nicobar islands,south andaman,2022,1,8088,1550
andaman & nicobar islands,south andaman,2022,2,8089,1955
andaman & nicobar islands,south andaman,2022,3,8090,2362
andaman & nicobar islands,south andaman,2022,4,8091,2619
andaman & nicobar islands,south andaman,2023,1,8092,2757
andaman & nicobar islands,south andaman,2023,2,8093,2906
andaman & nicobar islands,south andaman,2023,3,8094,3013
andaman & nicobar islands,south andaman,2023,4,8095,3075
andaman & nicobar islands,south andaman,2024,1,8096,3117
andaman & nicobar islands,south andaman,2024,2,8097,3300
andaman & nicobar islands,south andaman,2024,3,8098,3597
andaman & nicobar islands,south andaman,2024,4,8099,3899
andaman & nicobar islands,south andaman,2025,1,8100,4199
andaman & nicobar islands,south andaman,2025,2,8101,4426
andaman & nicobar islands,south andaman,2025,3,8102,4658
andaman & nicobar islands,south andaman,2025,4,8103,4908
andaman & nicobar islands,south andaman,2026,1,8104,5114
andaman & nicobar islands,south andaman,2026,2,8105,5317
andhra pradesh,alluri sitharama raju,2018,1,8072,4
andhra pradesh,alluri sitharama raju,2018,2,8073,3
andhra pradesh,alluri sitharama raju,2018,3,8074,17
andhra pradesh,alluri sitharama raju,2018,4,8075,38
andhra pradesh,alluri sitharama raju,2019,1,8076,648
andhra pradesh,alluri sitharama raju,2019,2,8077,862
andhra pradesh,alluri sitharama raju,2019,3,8078,1026
andhra pradesh,alluri sitharama raju,2019,4,8079,1431
andhra pradesh,alluri sitharama raju,2020,1,8080,1654
andhra pradesh,alluri sitharama raju,2020,2,8081,1837
andhra pradesh,alluri sitharama raju,2020,3,8082,2226
andhra pradesh,alluri sitharama raju,2020,4,8083,2951
andhra pradesh,alluri sitharama raju,2021,1,8084,3566
andhra pradesh,alluri sitharama raju,2021,2,8085,3934
andhra pradesh,alluri sitharama raju,2021,3,8086,4437
andhra pradesh,alluri sitharama raju,2021,4,8087,5036
andhra pradesh,alluri sitharama raju,2022,1,8088,5607
andhra pradesh,alluri sitharama raju,2022,2,8089,6005
andhra pradesh,alluri sitharama raju,2022,3,8090,6521
andhra pradesh,alluri sitharama raju,2022,4,8091,6805
andhra pradesh,alluri sitharama raju,2023,1,8092,6911
andhra pradesh,alluri sitharama raju,2023,2,8093,7150
andhra pradesh,alluri sitharama raju,2023,3,8094,7528
andhra pradesh,alluri sitharama raju,2023,4,8095,7973
andhra pradesh,alluri sitharama raju,2024,1,8096,8690
andhra pradesh,alluri sitharama raju,2024,2,8097,9198
andhra pradesh,alluri sitharama raju,2024,3,8098,9440
andhra pradesh,alluri sitharama raju,2024,4,8099,9731
andhra pradesh,alluri sitharama raju,2025,1,8100,10031
andhra pradesh,alluri sitharama raju,2025,2,8101,10217
andhra pradesh,alluri sitharama raju,2025,3,8102,10333
andhra pradesh,alluri sitharama raju,2025,4,8103,10685
andhra pradesh,alluri sitharama raju,2026,1,8104,10865
andhra pradesh,alluri sitharama raju,2026,2,8105,11247
andhra pradesh,anakapalli,2018,3,8074,844
andhra pradesh,anakapalli,2018,4,8075,2766
andhra pradesh,anakapalli,2019,1,8076,7412
andhra pradesh,anakapalli,2019,2,8077,10242
andhra pradesh,anakapalli,2019,3,8078,13116
andhra pradesh,anakapalli,2019,4,8079,15341
andhra pradesh,anakapalli,2020,1,8080,16887
andhra pradesh,anakapalli,2020,2,8081,18109
andhra pradesh,anakapalli,2020,3,8082,21257
andhra pradesh,anakapalli,2020,4,8083,25822
andhra pradesh,anakapalli,2021,1,8084,28678
andhra pradesh,anakapalli,2021,2,8085,30647
andhra pradesh,anakapalli,2021,3,8086,32705
andhra pradesh,anakapalli,2021,4,8087,34792
andhra pradesh,anakapalli,2022,1,8088,37343
andhra pradesh,anakapalli,2022,2,8089,38929
andhra pradesh,anakapalli,2022,3,8090,40288
andhra pradesh,anakapalli,2022,4,8091,41234
andhra pradesh,anakapalli,2023,1,8092,41744
andhra pradesh,anakapalli,2023,2,8093,42625
andhra pradesh,anakapalli,2023,3,8094,43881
andhra pradesh,anakapalli,2023,4,8095,46043
andhra pradesh,anakapalli,2024,1,8096,48444
andhra pradesh,anakapalli,2024,2,8097,50624
andhra pradesh,anakapalli,2024,3,8098,52058
andhra pradesh,anakapalli,2024,4,8099,53468
andhra pradesh,anakapalli,2025,1,8100,54902
andhra pradesh,anakapalli,2025,2,8101,55830
andhra pradesh,anakapalli,2025,3,8102,56595
andhra pradesh,anakapalli,2025,4,8103,57956
andhra pradesh,anakapalli,2026,1,8104,59202
andhra pradesh,anakapalli,2026,2,8105,60549
andhra pradesh,ananthapuramu,2018,2,8073,1
andhra pradesh,ananthapuramu,2018,3,8074,55
andhra pradesh,ananthapuramu,2018,4,8075,232
andhra pradesh,ananthapuramu,2019,1,8076,2732
andhra pradesh,ananthapuramu,2019,2,8077,10040
andhra pradesh,ananthapuramu,2019,3,8078,16876
andhra pradesh,ananthapuramu,2019,4,8079,21234
andhra pradesh,ananthapuramu,2020,1,8080,24712
andhra pradesh,ananthapuramu,2020,2,8081,26244
andhra pradesh,ananthapuramu,2020,3,8082,31712
andhra pradesh,ananthapuramu,2020,4,8083,42105
andhra pradesh,ananthapuramu,2021,1,8084,48028
andhra pradesh,ananthapuramu,2021,2,8085,52586
andhra pradesh,ananthapuramu,2021,3,8086,57327
andhra pradesh,ananthapuramu,2021,4,8087,62018
andhra pradesh,ananthapuramu,2022,1,8088,66133
andhra pradesh,ananthapuramu,2022,2,8089,69991
andhra pradesh,ananthapuramu,2022,3,8090,73399
andhra pradesh,ananthapuramu,2022,4,8091,75932
andhra pradesh,ananthapuramu,2023,1,8092,75750
andhra pradesh,ananthapuramu,2023,2,8093,76919
andhra pradesh,ananthapuramu,2023,3,8094,78633
andhra pradesh,ananthapuramu,2023,4,8095,80641
andhra pradesh,ananthapuramu,2024,1,8096,83231
andhra pradesh,ananthapuramu,2024,2,8097,86094
andhra pradesh,ananthapuramu,2024,3,8098,89565
andhra pradesh,ananthapuramu,2024,4,8099,93040
andhra pradesh,ananthapuramu,2025,1,8100,95816
andhra pradesh,ananthapuramu,2025,2,8101,98547
andhra pradesh,ananthapuramu,2025,3,8102,101081
andhra pradesh,ananthapuramu,2025,4,8103,104215
andhra pradesh,ananthapuramu,2026,1,8104,106385
andhra pradesh,ananthapuramu,2026,2,8105,108540
andhra pradesh,annamayya,2018,1,8072,1
andhra pradesh,annamayya,2018,2,8073,1
andhra pradesh,annamayya,2018,3,8074,38
andhra pradesh,annamayya,2018,4,8075,476
andhra pradesh,annamayya,2019,1,8076,3012
andhra pradesh,annamayya,2019,2,8077,4534
andhra pradesh,annamayya,2019,3,8078,5818
andhra pradesh,annamayya,2019,4,8079,6950
andhra pradesh,annamayya,2020,1,8080,7802
andhra pradesh,annamayya,2020,2,8081,8528
andhra pradesh,annamayya,2020,3,8082,9701
andhra pradesh,annamayya,2020,4,8083,13907
andhra pradesh,annamayya,2021,1,8084,17801
andhra pradesh,annamayya,2021,2,8085,19545
andhra pradesh,annamayya,2021,3,8086,22478
andhra pradesh,annamayya,2021,4,8087,26258
andhra pradesh,annamayya,2022,1,8088,29137
andhra pradesh,annamayya,2022,2,8089,31360
andhra pradesh,annamayya,2022,3,8090,33489
andhra pradesh,annamayya,2022,4,8091,35246
andhra pradesh,annamayya,2023,1,8092,35413
andhra pradesh,annamayya,2023,2,8093,35537
andhra pradesh,annamayya,2023,3,8094,36014
andhra pradesh,annamayya,2023,4,8095,37096
andhra pradesh,annamayya,2024,1,8096,38811
andhra pradesh,annamayya,2024,2,8097,40020
andhra pradesh,annamayya,2024,3,8098,40991
andhra pradesh,annamayya,2024,4,8099,42166
andhra pradesh,annamayya,2025,1,8100,43233
andhra pradesh,annamayya,2025,2,8101,44251
andhra pradesh,annamayya,2025,3,8102,45148
andhra pradesh,annamayya,2025,4,8103,46820
andhra pradesh,annamayya,2026,1,8104,48188
andhra pradesh,annamayya,2026,2,8105,50051
andhra pradesh,bapatla,2018,3,8074,4
andhra pradesh,bapatla,2018,4,8075,49
andhra pradesh,bapatla,2019,1,8076,289
andhra pradesh,bapatla,2019,2,8077,1344
andhra pradesh,bapatla,2019,3,8078,2122
andhra pradesh,bapatla,2019,4,8079,3438
andhra pradesh,bapatla,2020,1,8080,4788
andhra pradesh,bapatla,2020,2,8081,5354
andhra pradesh,bapatla,2020,3,8082,6266
andhra pradesh,bapatla,2020,4,8083,10616
andhra pradesh,bapatla,2021,1,8084,14486
andhra pradesh,bapatla,2021,2,8085,16450
andhra pradesh,bapatla,2021,3,8086,19322
andhra pradesh,bapatla,2021,4,8087,22320
andhra pradesh,bapatla,2022,1,8088,24596
andhra pradesh,bapatla,2022,2,8089,27091
andhra pradesh,bapatla,2022,3,8090,29338
andhra pradesh,bapatla,2022,4,8091,32071
andhra pradesh,bapatla,2023,1,8092,33356
andhra pradesh,bapatla,2023,2,8093,34438
andhra pradesh,bapatla,2023,3,8094,36558
andhra pradesh,bapatla,2023,4,8095,38664
andhra pradesh,bapatla,2024,1,8096,41401
andhra pradesh,bapatla,2024,2,8097,43246
andhra pradesh,bapatla,2024,3,8098,44891
andhra pradesh,bapatla,2024,4,8099,46926
andhra pradesh,bapatla,2025,1,8100,48682
andhra pradesh,bapatla,2025,2,8101,50434
andhra pradesh,bapatla,2025,3,8102,52230
andhra pradesh,bapatla,2025,4,8103,54186
andhra pradesh,bapatla,2026,1,8104,56499
andhra pradesh,bapatla,2026,2,8105,59133
andhra pradesh,chittoor,2018,1,8072,4
