state,district,year,quarter,period_id,registered_users
andaman & nicobar islands,nicobar,2018,1,8072,484
andaman & nicobar islands,nicobar,2018,2,8073,688
andaman & nicobar islands,nicobar,2018,3,8074,853
andaman & nicobar islands,nicobar,2018,4,8075,1037
andaman & nicobar islands,nicobar,2019,1,8076,1226
andaman & nicobar islands,nicobar,2019,2,8077,1362
andaman & nicobar islands,nicobar,2019,3,8078,1481
andaman & nicobar islands,nicobar,2019,4,8079,1576
andaman & nicobar islands,nicobar,2020,1,8080,1694
andaman & nicobar islands,nicobar,2020,2,8081,1852
andaman & nicobar islands,nicobar,2020,3,8082,2092
andaman & nicobar islands,nicobar,2020,4,8083,2489
andaman & nicobar islands,nicobar,2021,1,8084,2826
andaman & nicobar islands,nicobar,2021,2,8085,3205
andaman & nicobar islands,nicobar,2021,3,8086,3564
andaman & nicobar islands,nicobar,2021,4,8087,3959
andaman & nicobar islands,nicobar,2022,1,8088,4276
andaman & nicobar islands,nicobar,2022,2,8089,4668
andaman & nicobar islands,nicobar,2022,3,8090,5044
andaman & nicobar islands,nicobar,2022,4,8091,5400
andaman & nicobar islands,nicobar,2023,1,8092,5729
andaman & nicobar islands,nicobar,2023,2,8093,6099
andaman & nicobar islands,nicobar,2023,3,8094,6385
andaman & nicobar islands,nicobar,2023,4,8095,6815
andaman & nicobar islands,nicobar,2024,1,8096,7154
andaman & nicobar islands,nicobar,2024,2,8097,7499
andaman & nicobar islands,nicobar,2024,3,8098,7895
andaman & nicobar islands,nicobar,2024,4,8099,8203
andaman & nicobar islands,nicobar,2025,1,8100,8474
andaman & nicobar islands,nicobar,2025,2,8101,8807
andaman & nicobar islands,nicobar,2025,3,8102,9119
andaman & nicobar islands,nicobar,2025,4,8103,9454
andaman & nicobar islands,nicobar,2026,1,8104,9755
andaman & nicobar islands,nicobar,2026,2,8105,9934
andaman & nicobar islands,north and middle andaman,2018,1,8072,879
andaman & nicobar islands,north and middle andaman,2018,2,8073,1191
andaman & nicobar islands,north and middle andaman,2018,3,8074,1523
andaman & nicobar islands,north and middle andaman,2018,4,8075,1894
andaman & nicobar islands,north and middle andaman,2019,1,8076,2366
andaman & nicobar islands,north and middle andaman,2019,2,8077,2766
andaman & nicobar islands,north and middle andaman,2019,3,8078,3122
andaman & nicobar islands,north and middle andaman,2019,4,8079,3443
