state,district,min,max,count,internal_missing_periods
andaman & nicobar islands,nicobar,8072,8105,34,0
andaman & nicobar islands,north and middle andaman,8072,8105,34,0
andaman & nicobar islands,south andaman,8072,8105,34,0
andhra pradesh,alluri sitharama raju,8072,8105,34,0
andhra pradesh,anakapalli,8072,8105,34,0
andhra pradesh,ananthapuramu,8072,8105,34,0
andhra pradesh,annamayya,8072,8105,34,0
andhra pradesh,bapatla,8072,8105,34,0
andhra pradesh,chittoor,8072,8105,34,0
andhra pradesh,dr br ambedkar konaseema,8072,8105,34,0
andhra pradesh,east godavari,8072,8105,34,0
andhra pradesh,eluru,8072,8105,34,0
andhra pradesh,guntur,8072,8105,34,0
andhra pradesh,kakinada,8072,8105,34,0
andhra pradesh,krishna,8072,8105,34,0
andhra pradesh,kurnool,8072,8105,34,0
andhra pradesh,nandyal,8072,8105,34,0
andhra pradesh,ntr,8072,8105,34,0
andhra pradesh,palnadu,8072,8105,34,0
andhra pradesh,parvathipuram manyam,8072,8105,34,0
andhra pradesh,prakasam,8072,8105,34,0
andhra pradesh,sri potti sriramulu nellore,8072,8105,34,0
andhra pradesh,sri sathyasai,8072,8105,34,0
andhra pradesh,srikakulam,8072,8105,34,0
andhra pradesh,tirupati,8072,8105,34,0
andhra pradesh,visakhapatnam,8072,8105,34,0
andhra pradesh,vizianagaram,8072,8105,34,0
andhra pradesh,west godavari,8072,8105,34,0
andhra pradesh,ysr kadapa,8072,8105,34,0
arunachal pradesh,anjaw,8072,8105,34,0
arunachal pradesh,bichom,8072,8105,34,0
arunachal pradesh,changlang,8072,8105,34,0
arunachal pradesh,dibang valley,8072,8105,34,0
arunachal pradesh,east kameng,8072,8105,34,0
arunachal pradesh,east siang,8072,8105,34,0
arunachal pradesh,itanagar capital complex,8072,8105,34,0
arunachal pradesh,kamle,8072,8105,34,0
arunachal pradesh,keyi panyor,8072,8105,34,0
arunachal pradesh,kra daadi,8072,8105,34,0
arunachal pradesh,kurung kumey,8072,8105,34,0
arunachal pradesh,lepa rada,8072,8105,34,0
arunachal pradesh,lohit,8072,8105,34,0
arunachal pradesh,longding,8072,8105,34,0
arunachal pradesh,lower dibang valley,8072,8105,34,0
arunachal pradesh,lower siang,8072,8105,34,0
arunachal pradesh,lower subansiri,8072,8105,34,0
arunachal pradesh,namsai,8072,8105,34,0
arunachal pradesh,pakke kessang,8072,8105,34,0
arunachal pradesh,papum pare,8072,8105,34,0
arunachal pradesh,shi yomi,8072,8105,34,0
arunachal pradesh,siang,8072,8105,34,0
arunachal pradesh,tawang,8072,8105,34,0
arunachal pradesh,tirap,8072,8105,34,0
arunachal pradesh,upper siang,8072,8105,34,0
arunachal pradesh,upper subansiri,8072,8105,34,0
arunachal pradesh,west kameng,8072,8105,34,0
arunachal pradesh,west siang,8072,8105,34,0
assam,bajali,8072,8105,34,0
assam,baksa,8072,8105,34,0
assam,barpeta,8072,8105,34,0
assam,biswanath,8072,8105,34,0
assam,bongaigaon,8072,8105,34,0
assam,cachar,8072,8105,34,0
assam,charaideo,8072,8105,34,0
assam,chirang,8072,8105,34,0
assam,darrang,8072,8105,34,0
assam,dhemaji,8072,8105,34,0
assam,dhubri,8072,8105,34,0
assam,dibrugarh,8072,8105,34,0
assam,dima hasao,8072,8105,34,0
assam,goalpara,8072,8105,34,0
assam,golaghat,8072,8105,34,0
assam,hailakandi,8072,8105,34,0
assam,hojai,8072,8105,34,0
assam,jorhat,8072,8105,34,0
assam,kamrup,8072,8105,34,0
assam,kamrup metropolitan,8072,8105,34,0
assam,karbi anglong,8072,8105,34,0
assam,kokrajhar,8072,8105,34,0
assam,lakhimpur,8072,8105,34,0
assam,majuli,8072,8105,34,0
assam,morigaon,8072,8105,34,0
assam,nagaon,8072,8105,34,0
assam,nalbari,8072,8105,34,0
assam,sivasagar,8072,8105,34,0
assam,sonitpur,8072,8105,34,0
assam,south salmara mankachar,8072,8105,34,0
assam,sribhumi,8072,8105,34,0
assam,tamulpur,8072,8105,34,0
assam,tinsukia,8072,8105,34,0
assam,udalguri,8072,8105,34,0
assam,west karbi anglong,8072,8105,34,0
bihar,araria,8072,8105,34,0
bihar,arwal,8072,8105,34,0
bihar,aurangabad,8072,8105,34,0
