check,table,failures
duplicate_logical_keys,state,0
null_state,state,0
invalid_year,state,0
invalid_quarter,state,0
negative_transaction_count,state,0
negative_transaction_amount,state,0
negative_registered_users,state,0
negative_registered_merchants,state,0
latest_core_values_complete,state,0
duplicate_logical_keys,district,0
null_state,district,0
invalid_year,district,0
invalid_quarter,district,0
null_district,district,0
negative_transaction_count,district,0
negative_transaction_amount,district,0
negative_registered_users,district,0
negative_registered_merchants,district,0
latest_core_values_complete,district,0
district_state_count_reconciliation,geography,0
district_state_user_reconciliation,geography,0
district_state_merchant_reconciliation,geography,0
district_state_value_reconciliation_over_one_rupee,geography,0
