state,year,quarter,period_id,registered_merchants
andaman & nicobar islands,2019,1,8076,5
andaman & nicobar islands,2019,2,8077,9
andaman & nicobar islands,2019,3,8078,22
andaman & nicobar islands,2019,4,8079,34
andaman & nicobar islands,2020,1,8080,55
andaman & nicobar islands,2020,2,8081,67
andaman & nicobar islands,2020,3,8082,76
andaman & nicobar islands,2020,4,8083,187
andaman & nicobar islands,2021,1,8084,329
andaman & nicobar islands,2021,2,8085,406
andaman & nicobar islands,2021,3,8086,589
andaman & nicobar islands,2021,4,8087,1110
andaman & nicobar islands,2022,1,8088,1618
andaman & nicobar islands,2022,2,8089,2036
andaman & nicobar islands,2022,3,8090,2469
andaman & nicobar islands,2022,4,8091,2740
andaman & nicobar islands,2023,1,8092,2880
andaman & nicobar islands,2023,2,8093,3030
andaman & nicobar islands,2023,3,8094,3143
andaman & nicobar islands,2023,4,8095,3205
andaman & nicobar islands,2024,1,8096,3255
andaman & nicobar islands,2024,2,8097,3440
andaman & nicobar islands,2024,3,8098,3739
andaman & nicobar islands,2024,4,8099,4041
andaman & nicobar islands,2025,1,8100,4344
andaman & nicobar islands,2025,2,8101,4589
andaman & nicobar islands,2025,3,8102,4894
andaman & nicobar islands,2025,4,8103,5260
andaman & nicobar islands,2026,1,8104,5541
andaman & nicobar islands,2026,2,8105,5789
andhra pradesh,2018,1,8072,30
andhra pradesh,2018,2,8073,140
andhra pradesh,2018,3,8074,9605
andhra pradesh,2018,4,8075,28877
andhra pradesh,2019,1,8076,117391
andhra pradesh,2019,2,8077,202343
andhra pradesh,2019,3,8078,282013
andhra pradesh,2019,4,8079,355373
andhra pradesh,2020,1,8080,413286
andhra pradesh,2020,2,8081,443589
andhra pradesh,2020,3,8082,523633
andhra pradesh,2020,4,8083,669451
andhra pradesh,2021,1,8084,778520
andhra pradesh,2021,2,8085,835962
andhra pradesh,2021,3,8086,913133
andhra pradesh,2021,4,8087,1003391
andhra pradesh,2022,1,8088,1087914
andhra pradesh,2022,2,8089,1160039
andhra pradesh,2022,3,8090,1223491
andhra pradesh,2022,4,8091,1272711
andhra pradesh,2023,1,8092,1291077
andhra pradesh,2023,2,8093,1318135
andhra pradesh,2023,3,8094,1365791
andhra pradesh,2023,4,8095,1424574
andhra pradesh,2024,1,8096,1500986
andhra pradesh,2024,2,8097,1563902
andhra pradesh,2024,3,8098,1619870
andhra pradesh,2024,4,8099,1683203
andhra pradesh,2025,1,8100,1740695
andhra pradesh,2025,2,8101,1794867
andhra pradesh,2025,3,8102,1846994
andhra pradesh,2025,4,8103,1916104
andhra pradesh,2026,1,8104,1971965
andhra pradesh,2026,2,8105,2031948
arunachal pradesh,2018,4,8075,2
arunachal pradesh,2019,1,8076,27
arunachal pradesh,2019,2,8077,81
arunachal pradesh,2019,3,8078,153
arunachal pradesh,2019,4,8079,195
arunachal pradesh,2020,1,8080,245
arunachal pradesh,2020,2,8081,290
arunachal pradesh,2020,3,8082,315
arunachal pradesh,2020,4,8083,364
arunachal pradesh,2021,1,8084,432
arunachal pradesh,2021,2,8085,565
arunachal pradesh,2021,3,8086,863
arunachal pradesh,2021,4,8087,1555
arunachal pradesh,2022,1,8088,2475
arunachal pradesh,2022,2,8089,3763
arunachal pradesh,2022,3,8090,7280
arunachal pradesh,2022,4,8091,9833
arunachal pradesh,2023,1,8092,10591
arunachal pradesh,2023,2,8093,11544
arunachal pradesh,2023,3,8094,13508
arunachal pradesh,2023,4,8095,15170
arunachal pradesh,2024,1,8096,16887
arunachal pradesh,2024,2,8097,18807
arunachal pradesh,2024,3,8098,20805
arunachal pradesh,2024,4,8099,22873
arunachal pradesh,2025,1,8100,24793
arunachal pradesh,2025,2,8101,26579
arunachal pradesh,2025,3,8102,28636
arunachal pradesh,2025,4,8103,30529
arunachal pradesh,2026,1,8104,32620
arunachal pradesh,2026,2,8105,35125
assam,2018,3,8074,12
assam,2018,4,8075,58
assam,2019,1,8076,2157
assam,2019,2,8077,6178
assam,2019,3,8078,8036
assam,2019,4,8079,9805
assam,2020,1,8080,11386
assam,2020,2,8081,12767
assam,2020,3,8082,14007
assam,2020,4,8083,18200
assam,2021,1,8084,41335
assam,2021,2,8085,70790
assam,2021,3,8086,115235
assam,2021,4,8087,178337
assam,2022,1,8088,254792
assam,2022,2,8089,312828
assam,2022,3,8090,375732
assam,2022,4,8091,428380
assam,2023,1,8092,468585
assam,2023,2,8093,498188
assam,2023,3,8094,538577
assam,2023,4,8095,574112
assam,2024,1,8096,611691
assam,2024,2,8097,645880
assam,2024,3,8098,683854
assam,2024,4,8099,725330
assam,2025,1,8100,761966
assam,2025,2,8101,794454
assam,2025,3,8102,832239
assam,2025,4,8103,886076
assam,2026,1,8104,925132
assam,2026,2,8105,984328
bihar,2018,1,8072,2
bihar,2018,2,8073,4
bihar,2018,3,8074,79
bihar,2018,4,8075,780
bihar,2019,1,8076,47091
bihar,2019,2,8077,136642
bihar,2019,3,8078,192625
bihar,2019,4,8079,237558
bihar,2020,1,8080,287792
bihar,2020,2,8081,310562
bihar,2020,3,8082,376344
bihar,2020,4,8083,527212
bihar,2021,1,8084,734157
bihar,2021,2,8085,873547
bihar,2021,3,8086,1100249
bihar,2021,4,8087,1305682
bihar,2022,1,8088,1548974
bihar,2022,2,8089,1703453
bihar,2022,3,8090,1848624
bihar,2022,4,8091,1983316
bihar,2023,1,8092,1998018
bihar,2023,2,8093,2036559
bihar,2023,3,8094,2114351
bihar,2023,4,8095,2194129
bihar,2024,1,8096,2272717
bihar,2024,2,8097,2362109
bihar,2024,3,8098,2458579
bihar,2024,4,8099,2553973
bihar,2025,1,8100,2640021
bihar,2025,2,8101,2722198
bihar,2025,3,8102,2811281
bihar,2025,4,8103,2921494
bihar,2026,1,8104,2994241
bihar,2026,2,8105,3076811
chandigarh,2018,2,8073,2
chandigarh,2018,3,8074,6
chandigarh,2018,4,8075,17
chandigarh,2019,1,8076,6750
chandigarh,2019,2,8077,15994
chandigarh,2019,3,8078,18880
chandigarh,2019,4,8079,21146
chandigarh,2020,1,8080,24121
chandigarh,2020,2,8081,25176
chandigarh,2020,3,8082,28162
chandigarh,2020,4,8083,31497
chandigarh,2021,1,8084,34879
chandigarh,2021,2,8085,37747
