state,district,period_id,year,quarter,transactions,value_inr,registered_users,registered_merchants
andaman & nicobar islands,,8072,2018,1,9089,18569126.204451818,9292,
andaman & nicobar islands,,8073,2018,2,15062,35517275.86434877,12739,
andaman & nicobar islands,,8074,2018,3,21154,67343424.71247172,15949,
andaman & nicobar islands,,8075,2018,4,31139,107983057.52065912,20050,
andaman & nicobar islands,,8076,2019,1,40726,126352730.02408026,24369,5
andaman & nicobar islands,,8077,2019,2,46764,163354796.04235423,28099,9
andaman & nicobar islands,,8078,2019,3,40623,151428296.95221972,31181,22
andaman & nicobar islands,,8079,2019,4,41665,170840663.89588845,33871,34
andaman & nicobar islands,,8080,2020,1,49104,181027348.6617951,36875,55
andaman & nicobar islands,,8081,2020,2,78685,197252557.32084328,41393,67
andaman & nicobar islands,,8082,2020,3,143989,392083841.7156626,50005,76
andaman & nicobar islands,,8083,2020,4,272005,732159322.5032427,61520,187
andaman & nicobar islands,,8084,2021,1,316270,962447873.368161,69111,329
andaman & nicobar islands,,8085,2021,2,457972,1105731027.1761088,77369,406
andaman & nicobar islands,,8086,2021,3,587428,1530805193.8545938,85547,589
andaman & nicobar islands,,8087,2021,4,722741,2012194678.690066,94375,1110
andaman & nicobar islands,,8088,2022,1,998495,2453419279.5854826,102605,1618
andaman & nicobar islands,,8089,2022,2,1419556,3229468164.9089017,111074,2036
andaman & nicobar islands,,8090,2022,3,1876971,3727232315.104086,119671,2469
andaman & nicobar islands,,8091,2022,4,2263155,4313612056.401077,127606,2740
andaman & nicobar islands,,8092,2023,1,2449897,4656305779.671389,134328,2880
andaman & nicobar islands,,8093,2023,2,2939168,5236683780.982016,141172,3030
andaman & nicobar islands,,8094,2023,3,3294013,5429583227.211581,148091,3143
andaman & nicobar islands,,8095,2023,4,3921213,6538722461.517704,155470,3205
andaman & nicobar islands,,8096,2024,1,4328346,7073085032.739111,162750,3255
andaman & nicobar islands,,8097,2024,2,4795590,7495263210.120073,170651,3440
andaman & nicobar islands,,8098,2024,3,5294506,7666206641.658037,178309,3739
andaman & nicobar islands,,8099,2024,4,6079801,8934732725.344223,184669,4041
andaman & nicobar islands,,8100,2025,1,6332082,9162142602.949232,190713,4344
andaman & nicobar islands,,8101,2025,2,6375269,8893455438.409813,196844,4589
andaman & nicobar islands,,8102,2025,3,6731822,8790337988.9711,203056,4894
andaman & nicobar islands,,8103,2025,4,7609535,10377697808.657213,209295,5260
andaman & nicobar islands,,8104,2026,1,7964501,10927506389.645979,214818,5541
andaman & nicobar islands,,8105,2026,2,7753095,10442295042.827309,220759,5789
andhra pradesh,,8072,2018,1,10862829,14001071206.72507,2979027,30
andhra pradesh,,8073,2018,2,14697368,26355488600.117676,3941740,140
andhra pradesh,,8074,2018,3,29262730,40288693498.011696,4841052,9605
andhra pradesh,,8075,2018,4,35722329,57943164106.786865,6134766,28877
andhra pradesh,,8076,2019,1,67981444,98042197867.21909,7399826,117391
andhra pradesh,,8077,2019,2,73241659,144859083315.21857,8379878,202343
andhra pradesh,,8078,2019,3,93033155,177040315932.09756,9369779,282013
andhra pradesh,,8079,2019,4,130762980,254283893858.3307,10528985,355373
