state,year,quarter,period_id,transaction_count,transaction_amount
andaman & nicobar islands,2018,1,8072,9089,18569126.204451818
andaman & nicobar islands,2018,2,8073,15062,35517275.86434877
andaman & nicobar islands,2018,3,8074,21154,67343424.71247172
andaman & nicobar islands,2018,4,8075,31139,107983057.52065912
andaman & nicobar islands,2019,1,8076,40726,126352730.02408026
andaman & nicobar islands,2019,2,8077,46764,163354796.04235423
andaman & nicobar islands,2019,3,8078,40623,151428296.95221972
andaman & nicobar islands,2019,4,8079,41665,170840663.89588845
andaman & nicobar islands,2020,1,8080,49104,181027348.6617951
andaman & nicobar islands,2020,2,8081,78685,197252557.32084328
andaman & nicobar islands,2020,3,8082,143989,392083841.7156626
andaman & nicobar islands,2020,4,8083,272005,732159322.5032427
andaman & nicobar islands,2021,1,8084,316270,962447873.368161
andaman & nicobar islands,2021,2,8085,457972,1105731027.1761088
andaman & nicobar islands,2021,3,8086,587428,1530805193.8545938
andaman & nicobar islands,2021,4,8087,722741,2012194678.690066
andaman & nicobar islands,2022,1,8088,998495,2453419279.5854826
andaman & nicobar islands,2022,2,8089,1419556,3229468164.9089017
andaman & nicobar islands,2022,3,8090,1876971,3727232315.104086
andaman & nicobar islands,2022,4,8091,2263155,4313612056.401077
andaman & nicobar islands,2023,1,8092,2449897,4656305779.671389
andaman & nicobar islands,2023,2,8093,2939168,5236683780.982016
andaman & nicobar islands,2023,3,8094,3294013,5429583227.211581
andaman & nicobar islands,2023,4,8095,3921213,6538722461.517704
andaman & nicobar islands,2024,1,8096,4328346,7073085032.739111
andaman & nicobar islands,2024,2,8097,4795590,7495263210.120073
andaman & nicobar islands,2024,3,8098,5294506,7666206641.658037
andaman & nicobar islands,2024,4,8099,6079801,8934732725.344223
andaman & nicobar islands,2025,1,8100,6332082,9162142602.949232
andaman & nicobar islands,2025,2,8101,6375269,8893455438.409813
andaman & nicobar islands,2025,3,8102,6731822,8790337988.9711
andaman & nicobar islands,2025,4,8103,7609535,10377697808.657213
andaman & nicobar islands,2026,1,8104,7964501,10927506389.645979
andaman & nicobar islands,2026,2,8105,7753095,10442295042.827309
andhra pradesh,2018,1,8072,10862829,14001071206.72507
andhra pradesh,2018,2,8073,14697368,26355488600.117676
andhra pradesh,2018,3,8074,29262730,40288693498.011696
andhra pradesh,2018,4,8075,35722329,57943164106.786865
andhra pradesh,2019,1,8076,67981444,98042197867.21909
andhra pradesh,2019,2,8077,73241659,144859083315.21857
andhra pradesh,2019,3,8078,93033155,177040315932.09756
andhra pradesh,2019,4,8079,130762980,254283893858.3307
andhra pradesh,2020,1,8080,159186574,328528062231.59393
andhra pradesh,2020,2,8081,176284886,380612306331.30676
andhra pradesh,2020,3,8082,251377109,585395478652.1339
andhra pradesh,2020,4,8083,326093276,760638671029.0725
andhra pradesh,2021,1,8084,360571899,827396576580.57
andhra pradesh,2021,2,8085,450715706,1067722803488.4009
andhra pradesh,2021,3,8086,552469257,1229581784431.981
andhra pradesh,2021,4,8087,576560191,1241105876775.0784
andhra pradesh,2022,1,8088,725554627,1565634867542.4126
andhra pradesh,2022,2,8089,840332341,1793485874297.8623
andhra pradesh,2022,3,8090,956418056,1959402519798.4548
andhra pradesh,2022,4,8091,1030438279,2028666459424.0625
andhra pradesh,2023,1,8092,1138724913,2251807395014.746
andhra pradesh,2023,2,8093,1295037315,2509703988271.9307
andhra pradesh,2023,3,8094,1467644978,2654560419251.27
andhra pradesh,2023,4,8095,1588297806,2811855025318.7295
andhra pradesh,2024,1,8096,1749727590,3018505887112.872
andhra pradesh,2024,2,8097,1920885662,3185673985146.1885
andhra pradesh,2024,3,8098,2086058265,3227507134129.8457
andhra pradesh,2024,4,8099,2292770050,3454536571052.4014
andhra pradesh,2025,1,8100,2422886250,3666795723272.4346
andhra pradesh,2025,2,8101,2530918973,3781520939571.639
