state,year,quarter,period_id,registered_users
andaman & nicobar islands,2018,1,8072,9292
andaman & nicobar islands,2018,2,8073,12739
andaman & nicobar islands,2018,3,8074,15949
andaman & nicobar islands,2018,4,8075,20050
andaman & nicobar islands,2019,1,8076,24369
andaman & nicobar islands,2019,2,8077,28099
andaman & nicobar islands,2019,3,8078,31181
andaman & nicobar islands,2019,4,8079,33871
andaman & nicobar islands,2020,1,8080,36875
andaman & nicobar islands,2020,2,8081,41393
andaman & nicobar islands,2020,3,8082,50005
andaman & nicobar islands,2020,4,8083,61520
andaman & nicobar islands,2021,1,8084,69111
andaman & nicobar islands,2021,2,8085,77369
andaman & nicobar islands,2021,3,8086,85547
andaman & nicobar islands,2021,4,8087,94375
andaman & nicobar islands,2022,1,8088,102605
andaman & nicobar islands,2022,2,8089,111074
andaman & nicobar islands,2022,3,8090,119671
andaman & nicobar islands,2022,4,8091,127606
andaman & nicobar islands,2023,1,8092,134328
andaman & nicobar islands,2023,2,8093,141172
andaman & nicobar islands,2023,3,8094,148091
andaman & nicobar islands,2023,4,8095,155470
andaman & nicobar islands,2024,1,8096,162750
andaman & nicobar islands,2024,2,8097,170651
andaman & nicobar islands,2024,3,8098,178309
andaman & nicobar islands,2024,4,8099,184669
andaman & nicobar islands,2025,1,8100,190713
andaman & nicobar islands,2025,2,8101,196844
andaman & nicobar islands,2025,3,8102,203056
andaman & nicobar islands,2025,4,8103,209295
andaman & nicobar islands,2026,1,8104,214818
andaman & nicobar islands,2026,2,8105,220759
andhra pradesh,2018,1,8072,2979027
andhra pradesh,2018,2,8073,3941740
andhra pradesh,2018,3,8074,4841052
andhra pradesh,2018,4,8075,6134766
andhra pradesh,2019,1,8076,7399826
andhra pradesh,2019,2,8077,8379878
andhra pradesh,2019,3,8078,9369779
andhra pradesh,2019,4,8079,10528985
andhra pradesh,2020,1,8080,11664133
andhra pradesh,2020,2,8081,12828761
andhra pradesh,2020,3,8082,14049378
andhra pradesh,2020,4,8083,15263807
andhra pradesh,2021,1,8084,16309736
andhra pradesh,2021,2,8085,17327874
andhra pradesh,2021,3,8086,18380260
andhra pradesh,2021,4,8087,19405303
andhra pradesh,2022,1,8088,20341205
andhra pradesh,2022,2,8089,21272937
andhra pradesh,2022,3,8090,22199210
andhra pradesh,2022,4,8091,23102641
andhra pradesh,2023,1,8092,23903359
andhra pradesh,2023,2,8093,24687258
andhra pradesh,2023,3,8094,25473637
andhra pradesh,2023,4,8095,26160960
andhra pradesh,2024,1,8096,26931791
andhra pradesh,2024,2,8097,27773775
andhra pradesh,2024,3,8098,28578957
