District Key,State,District
andaman & nicobar islands|nicobar,Andaman & Nicobar Islands,Nicobar
andaman & nicobar islands|north and middle andaman,Andaman & Nicobar Islands,North And Middle Andaman
andaman & nicobar islands|south andaman,Andaman & Nicobar Islands,South Andaman
andhra pradesh|alluri sitharama raju,Andhra Pradesh,Alluri Sitharama Raju
andhra pradesh|anakapalli,Andhra Pradesh,Anakapalli
andhra pradesh|ananthapuramu,Andhra Pradesh,Ananthapuramu
andhra pradesh|annamayya,Andhra Pradesh,Annamayya
andhra pradesh|bapatla,Andhra Pradesh,Bapatla
andhra pradesh|chittoor,Andhra Pradesh,Chittoor
andhra pradesh|dr br ambedkar konaseema,Andhra Pradesh,Dr Br Ambedkar Konaseema
andhra pradesh|east godavari,Andhra Pradesh,East Godavari
andhra pradesh|eluru,Andhra Pradesh,Eluru
andhra pradesh|guntur,Andhra Pradesh,Guntur
andhra pradesh|kakinada,Andhra Pradesh,Kakinada
andhra pradesh|krishna,Andhra Pradesh,Krishna
andhra pradesh|kurnool,Andhra Pradesh,Kurnool
andhra pradesh|nandyal,Andhra Pradesh,Nandyal
andhra pradesh|ntr,Andhra Pradesh,Ntr
andhra pradesh|palnadu,Andhra Pradesh,Palnadu
andhra pradesh|parvathipuram manyam,Andhra Pradesh,Parvathipuram Manyam
andhra pradesh|prakasam,Andhra Pradesh,Prakasam
andhra pradesh|sri potti sriramulu nellore,Andhra Pradesh,Sri Potti Sriramulu Nellore
andhra pradesh|sri sathyasai,Andhra Pradesh,Sri Sathyasai
andhra pradesh|srikakulam,Andhra Pradesh,Srikakulam
andhra pradesh|tirupati,Andhra Pradesh,Tirupati
andhra pradesh|visakhapatnam,Andhra Pradesh,Visakhapatnam
andhra pradesh|vizianagaram,Andhra Pradesh,Vizianagaram
andhra pradesh|west godavari,Andhra Pradesh,West Godavari
andhra pradesh|ysr kadapa,Andhra Pradesh,Ysr Kadapa
arunachal pradesh|anjaw,Arunachal Pradesh,Anjaw
arunachal pradesh|bichom,Arunachal Pradesh,Bichom
arunachal pradesh|changlang,Arunachal Pradesh,Changlang
arunachal pradesh|dibang valley,Arunachal Pradesh,Dibang Valley
arunachal pradesh|east kameng,Arunachal Pradesh,East Kameng
arunachal pradesh|east siang,Arunachal Pradesh,East Siang
arunachal pradesh|itanagar capital complex,Arunachal Pradesh,Itanagar Capital Complex
arunachal pradesh|kamle,Arunachal Pradesh,Kamle
arunachal pradesh|keyi panyor,Arunachal Pradesh,Keyi Panyor
arunachal pradesh|kra daadi,Arunachal Pradesh,Kra Daadi
arunachal pradesh|kurung kumey,Arunachal Pradesh,Kurung Kumey
arunachal pradesh|lepa rada,Arunachal Pradesh,Lepa Rada
arunachal pradesh|lohit,Arunachal Pradesh,Lohit
arunachal pradesh|longding,Arunachal Pradesh,Longding
arunachal pradesh|lower dibang valley,Arunachal Pradesh,Lower Dibang Valley
arunachal pradesh|lower siang,Arunachal Pradesh,Lower Siang
arunachal pradesh|lower subansiri,Arunachal Pradesh,Lower Subansiri
arunachal pradesh|namsai,Arunachal Pradesh,Namsai
arunachal pradesh|pakke kessang,Arunachal Pradesh,Pakke Kessang
arunachal pradesh|papum pare,Arunachal Pradesh,Papum Pare
arunachal pradesh|shi yomi,Arunachal Pradesh,Shi Yomi
arunachal pradesh|siang,Arunachal Pradesh,Siang
arunachal pradesh|tawang,Arunachal Pradesh,Tawang
arunachal pradesh|tirap,Arunachal Pradesh,Tirap
arunachal pradesh|upper siang,Arunachal Pradesh,Upper Siang
arunachal pradesh|upper subansiri,Arunachal Pradesh,Upper Subansiri
arunachal pradesh|west kameng,Arunachal Pradesh,West Kameng
arunachal pradesh|west siang,Arunachal Pradesh,West Siang
assam|bajali,Assam,Bajali
assam|baksa,Assam,Baksa
assam|barpeta,Assam,Barpeta
assam|biswanath,Assam,Biswanath
assam|bongaigaon,Assam,Bongaigaon
assam|cachar,Assam,Cachar
assam|charaideo,Assam,Charaideo
assam|chirang,Assam,Chirang
assam|darrang,Assam,Darrang
assam|dhemaji,Assam,Dhemaji
assam|dhubri,Assam,Dhubri
assam|dibrugarh,Assam,Dibrugarh
assam|dima hasao,Assam,Dima Hasao
assam|goalpara,Assam,Goalpara
assam|golaghat,Assam,Golaghat
assam|hailakandi,Assam,Hailakandi
assam|hojai,Assam,Hojai
assam|jorhat,Assam,Jorhat
assam|kamrup,Assam,Kamrup
assam|kamrup metropolitan,Assam,Kamrup Metropolitan
assam|karbi anglong,Assam,Karbi Anglong
assam|kokrajhar,Assam,Kokrajhar
assam|lakhimpur,Assam,Lakhimpur
assam|majuli,Assam,Majuli
assam|morigaon,Assam,Morigaon
assam|nagaon,Assam,Nagaon
assam|nalbari,Assam,Nalbari
assam|sivasagar,Assam,Sivasagar
assam|sonitpur,Assam,Sonitpur
assam|south salmara mankachar,Assam,South Salmara Mankachar
assam|sribhumi,Assam,Sribhumi
assam|tamulpur,Assam,Tamulpur
assam|tinsukia,Assam,Tinsukia
assam|udalguri,Assam,Udalguri
