District Key,Score,YoY Growth,Users per Merchant,Transactions per Merchant,Users,Merchants,Segment,National Rank,Low Penetration Percentile,Growth Percentile,Equal Weight Rank,No Intensity Rank
gujarat|dahod,78.7039764359352,0.3569970644086313,32.93054734919697,909.566041789762,613068,18617,High growth / low relative penetration,15,0.9617083946980854,0.9602356406480118,24,1
andhra pradesh|west godavari,86.67893961708396,0.3053306759084742,24.61700594858284,2407.162628903114,1195968,48583,High growth / low relative penetration,1,0.9057437407952872,0.8070692194403535,1,2
gujarat|jamnagar,73.519882179676,0.4311483909484883,22.449365138067066,659.8720106015779,728437,32448,High growth / low relative penetration,44,0.8527245949926362,0.9926362297496318,53,3
telangana|sangareddy,86.2739322533137,0.3234052018030091,18.019378409976618,1948.392965705378,1849509,102640,Mixed signals,2,0.695139911634757,0.8792341678939617,2,4
gujarat|bharuch,79.1899852724595,0.2979696721829716,23.0281692698874,998.125971667272,1267931,55060,High growth / low relative penetration,14,0.8674521354933726,0.7776141384388807,14,5
andhra pradesh|dr br ambedkar konaseema,84.99263622974962,0.3295914408846017,20.383698771165093,1987.595623507765,930577,45653,High growth / low relative penetration,3,0.8070692194403535,0.9086892488954345,5,6
andhra pradesh|east godavari,84.4918998527246,0.3218624340276936,18.27581378602195,1837.571350464735,1370485,74989,Mixed signals,4,0.7172312223858616,0.8748159057437408,4,7
andhra pradesh|alluri sitharama raju,83.64506627393226,0.3787052917103264,36.60389437183249,1991.9574997777183,411684,11247,High growth / low relative penetration,6,0.9720176730486008,0.9823269513991164,12,8
andhra pradesh|sri potti sriramulu nellore,84.11634756995582,0.3048670644189575,18.48564376008463,1787.778602951391,1729942,93583,Mixed signals,5,0.727540500736377,0.8055964653902798,3,9
karnataka|dakshina kannada,80.23564064801178,0.2679983917348101,28.881376473612693,1208.424051562672,1572822,54458,Mixed signals,11,0.9410898379970544,0.6303387334315169,8,10
gujarat|kachchh,77.88659793814432,0.2723120764559132,24.92914062758324,1001.54862282181,1507864,60486,Mixed signals,17,0.9131075110456554,0.6524300441826215,15,11
bihar|bhagalpur,74.57290132547864,0.3098775231104103,17.909069537243255,842.1813288789904,1447411,80820,Mixed signals,36,0.6907216494845361,0.8173784977908689,31,12
maharashtra|nanded,80.02209131075111,0.3006844741384538,17.54509386683637,1302.9104387081377,1764475,100568,Mixed signals,12,0.6656848306332842,0.7967599410898379,11,13
meghalaya|east khasi hills,75.39027982326951,0.4228173742898753,37.64942016057092,989.445732976509,253230,6726,High growth / low relative penetration,28,0.979381443298969,0.9896907216494846,55,14
bihar|jehanabad,77.23122238586157,0.4340145564295947,23.29499664204164,1144.061114842176,416235,17868,High growth / low relative penetration,18,0.8777614138438881,0.9955817378497792,39,15
andhra pradesh|tirupati,82.30486008836525,0.2817131382799915,18.6642166344294,1894.8996215625264,2219362,118910,Mixed signals,7,0.7349042709867453,0.7010309278350515,6,16
maharashtra|raigad,75.13254786450662,0.2811671212625888,18.23003652905093,913.7232958853126,2644996,145090,Mixed signals,29,0.7142857142857143,0.6980854197349042,23,17
assam|dibrugarh,68.68924889543446,0.328963284394387,23.88162926784316,668.9806939132839,518303,21703,High growth / low relative penetration,76,0.8851251840942562,0.9072164948453608,98,18
gujarat|panchmahals,65.19882179675994,0.3255609612469978,22.65435555891925,550.9555740558541,598664,26426,High growth / low relative penetration,112,0.8571428571428571,0.8910162002945509,135,19
karnataka|mandya,81.08247422680412,0.2821500060787401,23.76373907326694,1921.0594122087216,975953,41069,Mixed signals,9,0.8836524300441826,0.7069219440353461,9,20
andhra pradesh|eluru,81.35493372606774,0.2915598160731087,18.912417392332827,1951.0284746965508,1279217,67639,Mixed signals,8,0.7466863033873343,0.7466863033873343,7,21
maharashtra|satara,76.14138438880708,0.2752609821785325,19.364936989537256,1081.9906737829676,1737945,89747,Mixed signals,24,0.7658321060382917,0.6642120765832106,19,22
karnataka|hassan,80.26509572901327,0.2641339570765659,26.22027055740492,2079.510446915504,1110612,42357,Mixed signals,10,0.9234167893961708,0.5994108983799705,9,23
