District Key,Period ID,Transactions,Value INR,Registered Users,Registered Merchants
andaman & nicobar islands|nicobar,8072,696,1455284.39,484,
andaman & nicobar islands|nicobar,8073,1480,3781103.31,688,
andaman & nicobar islands|nicobar,8074,1870,7560956.96,853,
andaman & nicobar islands|nicobar,8075,1860,8376410.36,1037,
andaman & nicobar islands|nicobar,8076,1985,8745229.69,1226,
andaman & nicobar islands|nicobar,8077,2769,12927813.29,1362,1.0
andaman & nicobar islands|nicobar,8078,3103,16425425.95,1481,2.0
andaman & nicobar islands|nicobar,8079,3641,17561315.74,1576,2.0
andaman & nicobar islands|nicobar,8080,4062,17218939.24,1694,2.0
andaman & nicobar islands|nicobar,8081,5173,19118891.01,1852,3.0
andaman & nicobar islands|nicobar,8082,6999,30268456.16,2092,3.0
andaman & nicobar islands|nicobar,8083,10472,43285754.49,2489,4.0
andaman & nicobar islands|nicobar,8084,14192,52327795.95,2826,4.0
andaman & nicobar islands|nicobar,8085,22389,66494725.94,3205,7.0
andaman & nicobar islands|nicobar,8086,30653,103011207.61,3564,8.0
andaman & nicobar islands|nicobar,8087,30484,93324727.87,3959,11.0
andaman & nicobar islands|nicobar,8088,41261,124917985.77,4276,15.0
andaman & nicobar islands|nicobar,8089,62856,177739744.44,4668,17.0
andaman & nicobar islands|nicobar,8090,84324,202744751.41,5044,22.0
andaman & nicobar islands|nicobar,8091,99606,219802765.43,5400,27.0
andaman & nicobar islands|nicobar,8092,104592,211584981.24,5729,28.0
andaman & nicobar islands|nicobar,8093,122520,242166223.05,6099,28.0
andaman & nicobar islands|nicobar,8094,137369,264566063.23,6385,29.0
andaman & nicobar islands|nicobar,8095,162492,323873852.67,6815,29.0
andaman & nicobar islands|nicobar,8096,173104,317503854.31,7154,26.0
andaman & nicobar islands|nicobar,8097,193954,347119892.99,7499,26.0
andaman & nicobar islands|nicobar,8098,211895,374690079.04,7895,26.0
andaman & nicobar islands|nicobar,8099,233903,404225286.54,8203,26.0
andaman & nicobar islands|nicobar,8100,234676,385957865.22,8474,26.0
andaman & nicobar islands|nicobar,8101,253728,421965716.18,8807,26.0
andaman & nicobar islands|nicobar,8102,258638,431576380.39,9119,26.0
andaman & nicobar islands|nicobar,8103,238354,422836415.68,9454,26.0
andaman & nicobar islands|nicobar,8104,283723,453291546.91,9755,28.0
andaman & nicobar islands|nicobar,8105,299997,486479477.93,9934,28.0
andaman & nicobar islands|north and middle andaman,8072,537,1150313.29,879,
andaman & nicobar islands|north and middle andaman,8073,1077,1601668.68,1191,
andaman & nicobar islands|north and middle andaman,8074,1629,5690058.11,1523,
andaman & nicobar islands|north and middle andaman,8075,2767,9185662.9,1894,
andaman & nicobar islands|north and middle andaman,8076,4475,11664508.28,2366,2.0
andaman & nicobar islands|north and middle andaman,8077,5401,12314190.17,2766,3.0
andaman & nicobar islands|north and middle andaman,8078,5217,16517168.12,3122,5.0
andaman & nicobar islands|north and middle andaman,8079,6442,19210234.11,3443,8.0
andaman & nicobar islands|north and middle andaman,8080,7786,20949469.05,3853,14.0
andaman & nicobar islands|north and middle andaman,8081,14624,30441142.03,4555,19.0
andaman & nicobar islands|north and middle andaman,8082,21235,45524401.64,5733,20.0
andaman & nicobar islands|north and middle andaman,8083,35624,83988364.56,7384,23.0
andaman & nicobar islands|north and middle andaman,8084,37769,101073766.52,8302,24.0
andaman & nicobar islands|north and middle andaman,8085,58910,126125811.31,9339,29.0
andaman & nicobar islands|north and middle andaman,8086,70736,163200919.26,10433,32.0
andaman & nicobar islands|north and middle andaman,8087,69156,188810340.09,11527,44.0
andaman & nicobar islands|north and middle andaman,8088,86322,217254062.42,12464,53.0
andaman & nicobar islands|north and middle andaman,8089,106052,267837449.97,13506,64.0
andaman & nicobar islands|north and middle andaman,8090,132171,309818720.2,14648,85.0
andaman & nicobar islands|north and middle andaman,8091,156287,360014875.26,15723,94.0
andaman & nicobar islands|north and middle andaman,8092,169440,409858640.04,16646,95.0
andaman & nicobar islands|north and middle andaman,8093,203278,481346109.7,17575,96.0
andaman & nicobar islands|north and middle andaman,8094,217009,513893931.44,18542,101.0
andaman & nicobar islands|north and middle andaman,8095,250039,561538834.37,19567,101.0
andaman & nicobar islands|north and middle andaman,8096,280960,619810451.02,20651,112.0
andaman & nicobar islands|north and middle andaman,8097,329894,697195645.01,21875,114.0
andaman & nicobar islands|north and middle andaman,8098,367086,723733031.56,23101,116.0
