Period ID,Quarter,Quarter Start
8072,2018-Q1,2018-01-01
8073,2018-Q2,2018-04-01
8074,2018-Q3,2018-07-01
8075,2018-Q4,2018-10-01
8076,2019-Q1,2019-01-01
8077,2019-Q2,2019-04-01
8078,2019-Q3,2019-07-01
8079,2019-Q4,2019-10-01
8080,2020-Q1,2020-01-01
8081,2020-Q2,2020-04-01
8082,2020-Q3,2020-07-01
8083,2020-Q4,2020-10-01
8084,2021-Q1,2021-01-01
8085,2021-Q2,2021-04-01
8086,2021-Q3,2021-07-01
8087,2021-Q4,2021-10-01
8088,2022-Q1,2022-01-01
8089,2022-Q2,2022-04-01
8090,2022-Q3,2022-07-01
8091,2022-Q4,2022-10-01
8092,2023-Q1,2023-01-01
8093,2023-Q2,2023-04-01
8094,2023-Q3,2023-07-01
8095,2023-Q4,2023-10-01
8096,2024-Q1,2024-01-01
8097,2024-Q2,2024-04-01
8098,2024-Q3,2024-07-01
8099,2024-Q4,2024-10-01
8100,2025-Q1,2025-01-01
8101,2025-Q2,2025-04-01
8102,2025-Q3,2025-07-01
8103,2025-Q4,2025-10-01
8104,2026-Q1,2026-01-01
8105,2026-Q2,2026-04-01
