State,Period ID,Retail Transactions
Andaman & Nicobar Islands,8072,6656
Andaman & Nicobar Islands,8073,10462
Andaman & Nicobar Islands,8074,13138
Andaman & Nicobar Islands,8075,18359
Andaman & Nicobar Islands,8076,24638
Andaman & Nicobar Islands,8077,27418
Andaman & Nicobar Islands,8078,21707
Andaman & Nicobar Islands,8079,18325
Andaman & Nicobar Islands,8080,23473
Andaman & Nicobar Islands,8081,43610
Andaman & Nicobar Islands,8082,76639
Andaman & Nicobar Islands,8083,132834
Andaman & Nicobar Islands,8084,86168
Andaman & Nicobar Islands,8085,123565
Andaman & Nicobar Islands,8086,169369
Andaman & Nicobar Islands,8087,259587
Andaman & Nicobar Islands,8088,396140
Andaman & Nicobar Islands,8089,629016
Andaman & Nicobar Islands,8090,866124
Andaman & Nicobar Islands,8091,1130336
Andaman & Nicobar Islands,8092,1254352
Andaman & Nicobar Islands,8093,1593082
Andaman & Nicobar Islands,8094,1795799
Andaman & Nicobar Islands,8095,2204624
Andaman & Nicobar Islands,8096,2483253
Andaman & Nicobar Islands,8097,2830230
Andaman & Nicobar Islands,8098,3128743
Andaman & Nicobar Islands,8099,3637868
Andaman & Nicobar Islands,8100,3813109
Andaman & Nicobar Islands,8101,3953793
Andaman & Nicobar Islands,8102,4184644
Andaman & Nicobar Islands,8103,4719538
Andaman & Nicobar Islands,8104,4993199
Andaman & Nicobar Islands,8105,4915599
Andhra Pradesh,8072,6888562
Andhra Pradesh,8073,8191674
Andhra Pradesh,8074,9823208
Andhra Pradesh,8075,14242724
Andhra Pradesh,8076,21565529
Andhra Pradesh,8077,29006645
Andhra Pradesh,8078,38574125
Andhra Pradesh,8079,48905204
Andhra Pradesh,8080,58613484
Andhra Pradesh,8081,58995509
Andhra Pradesh,8082,90557252
Andhra Pradesh,8083,118472460
Andhra Pradesh,8084,122228605
Andhra Pradesh,8085,137701586
Andhra Pradesh,8086,195005296
Andhra Pradesh,8087,223299270
Andhra Pradesh,8088,295596425
Andhra Pradesh,8089,357185042
Andhra Pradesh,8090,425082142
Andhra Pradesh,8091,468020065
Andhra Pradesh,8092,526737073
Andhra Pradesh,8093,613447829
Andhra Pradesh,8094,730559498
Andhra Pradesh,8095,800499764
Andhra Pradesh,8096,907194749
Andhra Pradesh,8097,1043588059
Andhra Pradesh,8098,1154960340
Andhra Pradesh,8099,1284541504
Andhra Pradesh,8100,1349213113
Andhra Pradesh,8101,1445602514
Andhra Pradesh,8102,1575163628
Andhra Pradesh,8103,1696774348
Andhra Pradesh,8104,1812911085
Andhra Pradesh,8105,1978617733
Arunachal Pradesh,8072,40846
Arunachal Pradesh,8073,69003
Arunachal Pradesh,8074,102215
Arunachal Pradesh,8075,141727
Arunachal Pradesh,8076,175799
Arunachal Pradesh,8077,235969
Arunachal Pradesh,8078,246085
Arunachal Pradesh,8079,245850
Arunachal Pradesh,8080,284879
Arunachal Pradesh,8081,407472
Arunachal Pradesh,8082,466194
Arunachal Pradesh,8083,498430
Arunachal Pradesh,8084,268630
Arunachal Pradesh,8085,357066
Arunachal Pradesh,8086,445416
Arunachal Pradesh,8087,624665
Arunachal Pradesh,8088,974159
Arunachal Pradesh,8089,1560097
Arunachal Pradesh,8090,2127733
Arunachal Pradesh,8091,2753357
Arunachal Pradesh,8092,3193883
Arunachal Pradesh,8093,4518172
Arunachal Pradesh,8094,5692334
Arunachal Pradesh,8095,6707771
Arunachal Pradesh,8096,7729487
Arunachal Pradesh,8097,9939346
Arunachal Pradesh,8098,12397130
Arunachal Pradesh,8099,13968413
Arunachal Pradesh,8100,15250004
Arunachal Pradesh,8101,17910730
Arunachal Pradesh,8102,21332176
Arunachal Pradesh,8103,20914837
Arunachal Pradesh,8104,20987088
Arunachal Pradesh,8105,24690742
Assam,8072,917663
Assam,8073,1336377
Assam,8074,1729859
Assam,8075,2764241
Assam,8076,2757939
Assam,8077,3193461
Assam,8078,3051698
Assam,8079,2890501
Assam,8080,3406812
Assam,8081,4571702
Assam,8082,4773287
Assam,8083,5154466
Assam,8084,3579513
Assam,8085,4119253
Assam,8086,6486596
Assam,8087,10034417
Assam,8088,16994856
Assam,8089,24578300
Assam,8090,34972826
Assam,8091,41152378
Assam,8092,49721049
Assam,8093,62198937
Assam,8094,80789947
Assam,8095,93896583
Assam,8096,108690485
Assam,8097,143706811
Assam,8098,159283968
Assam,8099,178000773
Assam,8100,202129241
Assam,8101,228314633
Assam,8102,257785154
Assam,8103,262799498
Assam,8104,280234793
Assam,8105,314710936
Bihar,8072,4816218
Bihar,8073,6197442
Bihar,8074,6195903
Bihar,8075,8778363
Bihar,8076,10134940
Bihar,8077,13444865
Bihar,8078,14352593
Bihar,8079,13833728
Bihar,8080,16415988
Bihar,8081,18443012
Bihar,8082,26489558
Bihar,8083,37187582
Bihar,8084,33189718
Bihar,8085,42188486
Bihar,8086,60516429
Bihar,8087,80117478
Bihar,8088,110204201
Bihar,8089,149362668
Bihar,8090,172516214
Bihar,8091,219181745
Bihar,8092,256728191
Bihar,8093,339365938
Bihar,8094,364225692
Bihar,8095,471333078
Bihar,8096,544022949
Bihar,8097,693433446
Bihar,8098,710563604
Bihar,8099,820470734
Bihar,8100,800286778
Bihar,8101,980327979
Bihar,8102,1002602349
Bihar,8103,1119034346
Bihar,8104,1152850594
Bihar,8105,1295213536
Chandigarh,8072,135274
Chandigarh,8073,171635
Chandigarh,8074,197262
Chandigarh,8075,279421
Chandigarh,8076,360000
Chandigarh,8077,534131
Chandigarh,8078,746995
Chandigarh,8079,812438
Chandigarh,8080,890041
Chandigarh,8081,500782
Chandigarh,8082,925689
Chandigarh,8083,1450083
Chandigarh,8084,1728889
Chandigarh,8085,1673769
Chandigarh,8086,2650201
Chandigarh,8087,2956450
Chandigarh,8088,3654287
Chandigarh,8089,4970069
Chandigarh,8090,5882444
Chandigarh,8091,6381514
Chandigarh,8092,6679868
Chandigarh,8093,8001836
Chandigarh,8094,9100188
Chandigarh,8095,9344696
Chandigarh,8096,9276490
Chandigarh,8097,11519996
Chandigarh,8098,12269851
Chandigarh,8099,12890043
Chandigarh,8100,13786138
Chandigarh,8101,14246760
Chandigarh,8102,15506364
Chandigarh,8103,15785608
Chandigarh,8104,15927532
Chandigarh,8105,17838348
Chhattisgarh,8072,1589599
Chhattisgarh,8073,2124217
Chhattisgarh,8074,2435063
Chhattisgarh,8075,3372461
Chhattisgarh,8076,4062272
Chhattisgarh,8077,5256226
Chhattisgarh,8078,6394057
Chhattisgarh,8079,7244686
Chhattisgarh,8080,8600738
Chhattisgarh,8081,8614241
Chhattisgarh,8082,12030721
Chhattisgarh,8083,18163320
Chhattisgarh,8084,19091610
Chhattisgarh,8085,19178737
Chhattisgarh,8086,33321770
Chhattisgarh,8087,42220296
Chhattisgarh,8088,57726019
Chhattisgarh,8089,73440835
Chhattisgarh,8090,87352711
Chhattisgarh,8091,102175844
Chhattisgarh,8092,113977816
Chhattisgarh,8093,136171929
Chhattisgarh,8094,158512662
Chhattisgarh,8095,183166600
Chhattisgarh,8096,209330663
Chhattisgarh,8097,241644172
Chhattisgarh,8098,260777393
Chhattisgarh,8099,296276945
Chhattisgarh,8100,292745236
Chhattisgarh,8101,320942200
Chhattisgarh,8102,346929895
Chhattisgarh,8103,369466099
Chhattisgarh,8104,381331900
Chhattisgarh,8105,402505854
Dadra & Nagar Haveli & Daman & Diu,8072,124310
Dadra & Nagar Haveli & Daman & Diu,8073,150355
Dadra & Nagar Haveli & Daman & Diu,8074,190778
Dadra & Nagar Haveli & Daman & Diu,8075,240461
Dadra & Nagar Haveli & Daman & Diu,8076,285372
Dadra & Nagar Haveli & Daman & Diu,8077,324440
Dadra & Nagar Haveli & Daman & Diu,8078,371757
Dadra & Nagar Haveli & Daman & Diu,8079,375567
Dadra & Nagar Haveli & Daman & Diu,8080,459843
Dadra & Nagar Haveli & Daman & Diu,8081,483124
Dadra & Nagar Haveli & Daman & Diu,8082,633739
Dadra & Nagar Haveli & Daman & Diu,8083,1023837
Dadra & Nagar Haveli & Daman & Diu,8084,969125
Dadra & Nagar Haveli & Daman & Diu,8085,1065450
Dadra & Nagar Haveli & Daman & Diu,8086,1727177
Dadra & Nagar Haveli & Daman & Diu,8087,2297983
Dadra & Nagar Haveli & Daman & Diu,8088,3219540
Dadra & Nagar Haveli & Daman & Diu,8089,4326687
Dadra & Nagar Haveli & Daman & Diu,8090,5333300
Dadra & Nagar Haveli & Daman & Diu,8091,6545310
Dadra & Nagar Haveli & Daman & Diu,8092,7186722
Dadra & Nagar Haveli & Daman & Diu,8093,8303022
Dadra & Nagar Haveli & Daman & Diu,8094,9373489
Dadra & Nagar Haveli & Daman & Diu,8095,11546558
Dadra & Nagar Haveli & Daman & Diu,8096,13145056
Dadra & Nagar Haveli & Daman & Diu,8097,14877323
Dadra & Nagar Haveli & Daman & Diu,8098,15976900
Dadra & Nagar Haveli & Daman & Diu,8099,18263646
Dadra & Nagar Haveli & Daman & Diu,8100,18323342
Dadra & Nagar Haveli & Daman & Diu,8101,19481392
Dadra & Nagar Haveli & Daman & Diu,8102,21544940
Dadra & Nagar Haveli & Daman & Diu,8103,22194792
Dadra & Nagar Haveli & Daman & Diu,8104,23012051
Dadra & Nagar Haveli & Daman & Diu,8105,22891864
Delhi,8072,2985448
Delhi,8073,3933398
Delhi,8074,7857195
Delhi,8075,16093319
Delhi,8076,20659076
Delhi,8077,25329627
Delhi,8078,32091616
Delhi,8079,31670633
Delhi,8080,33050230
Delhi,8081,25679771
Delhi,8082,36733987
Delhi,8083,50818263
Delhi,8084,56615267
Delhi,8085,54742475
Delhi,8086,82693069
Delhi,8087,91396064
Delhi,8088,118196322
Delhi,8089,159256415
Delhi,8090,193226144
Delhi,8091,213906227
Delhi,8092,241528649
Delhi,8093,293401714
Delhi,8094,339588954
Delhi,8095,373762989
Delhi,8096,411667423
Delhi,8097,509081017
