state,year,quarter,period_id,period_label,transaction_count,transaction_amount,registered_users,registered_merchants,average_transaction_value,merchants_per_100k_users,users_per_merchant,transactions_per_registered_user,tpv_per_registered_user,transactions_per_merchant,prior_period_id,prior_transactions,prior_tpv,prior_users,prior_merchants,transaction_qoq,tpv_qoq,user_qoq,merchant_qoq,transaction_yoy
andaman & nicobar islands,2018,1,8072,2018-Q1,9089,18569126.2,9292,,2043.032919,,,0.97815,1998.39929,,,,,,,,,,,
andaman & nicobar islands,2018,2,8073,2018-Q2,15062,35517275.86,12739,,2358.071694,,,1.18235,2788.074092,,8072.0,9089.0,18569126.2,9292.0,,0.65717,0.9127058,0.37096,,
andaman & nicobar islands,2018,3,8074,2018-Q3,21154,67343424.71,15949,,3183.484197,,,1.32635,4222.423018,,8073.0,15062.0,35517275.86,12739.0,,0.40446,0.8960752,0.25198,,
andaman & nicobar islands,2018,4,8075,2018-Q4,31139,107983057.52,20050,,3467.775379,,,1.55307,5385.688654,,8074.0,21154.0,67343424.71,15949.0,,0.47201,0.6034685,0.25713,,
andaman & nicobar islands,2019,1,8076,2019-Q1,40726,126352730.02,24369,5.0,3102.507735,20.51787,4873.8,1.67122,5184.978047,8145.2,8075.0,31139.0,107983057.52,20050.0,,0.30788,0.1701162,0.21541,,3.4808
andaman & nicobar islands,2019,2,8077,2019-Q2,46764,163354796.04,28099,9.0,3493.174152,32.02961,3122.11111,1.66426,5813.544825,5196.0,8076.0,40726.0,126352730.02,24369.0,5.0,0.14826,0.2928474,0.15306,0.8,2.10477
andaman & nicobar islands,2019,3,8078,2019-Q3,40623,151428296.95,31181,22.0,3727.649286,70.55579,1417.31818,1.30281,4856.428497,1846.5,8077.0,46764.0,163354796.04,28099.0,9.0,-0.13132,-0.0730098,0.10968,1.44444,0.92035
andaman & nicobar islands,2019,4,8079,2019-Q4,41665,170840663.9,33871,34.0,4100.339947,100.38086,996.20588,1.23011,5043.862416,1225.44118,8078.0,40623.0,151428296.95,31181.0,22.0,0.02565,0.1281951,0.08627,0.54545,0.33803
andaman & nicobar islands,2020,1,8080,2020-Q1,49104,181027348.66,36875,55.0,3686.611043,149.15254,670.45455,1.33163,4909.216235,892.8,8079.0,41665.0,170840663.9,33871.0,34.0,0.17854,0.0596268,0.08869,0.61765,0.20572
andaman & nicobar islands,2020,2,8081,2020-Q2,78685,197252557.32,41393,67.0,2506.863536,161.86312,617.80597,1.90093,4765.360262,1174.40299,8080.0,49104.0,181027348.66,36875.0,55.0,0.60242,0.0896285,0.12252,0.21818,0.6826
