State,State Rank,State Score,Eligible Districts,Expand Districts,Users,Merchants,Transactions,Merchants per 100K Users
Andaman & Nicobar Islands,13.0,54.78645066273932,1,0,180817,5317,6820738,2940.542095046373
Andhra Pradesh,1.0,74.99306787516693,26,19,34327612,2031948,3245956863,5919.281539304278
Arunachal Pradesh,5.0,60.81737849779088,1,1,229815,13506,11925439,5876.900985575354
Assam,15.0,52.12746701979526,33,5,13968304,978180,546403483,7002.854462503106
Bihar,7.0,59.637847846248604,38,8,44813491,3076811,2289051873,6865.8141361939415
Chandigarh,31.0,35.68483063328424,1,0,829123,64346,25137055,7760.730313837633
Chhattisgarh,16.0,52.06848272172167,30,3,12963946,711641,638024521,5489.38571635519
Dadra & Nagar Haveli & Daman & Diu,17.0,50.6058991720714,2,0,660619,26887,32378514,4069.9707395639543
Delhi,30.0,36.448454345067965,11,0,21250201,1893905,1171904826,8912.40981673538
Goa,4.0,65.59872702059978,2,1,1347940,36404,55208797,2700.7136816178763
Gujarat,12.0,55.27470427721448,33,11,36016909,2134962,1156290226,5927.665808301317
Haryana,23.0,43.14286493653177,22,2,22839223,1706826,1130714938,7473.222709896918
Himachal Pradesh,28.0,38.51175639878878,10,0,3519978,153697,72842145,4366.419335575393
Jammu & Kashmir,32.0,35.594893238478264,19,0,5554379,362587,185086877,6527.948488930986
Jharkhand,18.0,49.61757361875944,24,5,15790280,1055747,815309961,6686.056232061749
Karnataka,6.0,60.291161285272686,31,19,52534800,3305459,4491711923,6291.941722439222
Kerala,25.0,42.56891477991586,14,0,16304760,1091604,294649816,6695.001950350696
Ladakh,11.0,56.03829160530192,1,0,177949,1629,6775664,915.4308256860111
Madhya Pradesh,20.0,47.4523393745701,55,6,40093377,3144386,2283838085,7842.656905653022
Maharashtra,9.0,58.499823761481146,36,21,84075442,6113793,5064451991,7271.794063241439
Manipur,33.0,32.218392586234046,3,0,524587,23918,5977710,4559.396248858626
Meghalaya,8.0,58.92108360481829,2,1,451430,15436,13076166,3419.356267859912
Mizoram,34.0,32.05449189985273,1,0,164163,16407,2457520,9994.334898850531
Nagaland,10.0,56.651663414196285,2,1,287950,12693,7426886,4408.056954332349
Odisha,14.0,54.141779208227504,30,6,22586814,1434708,1523130010,6351.971552960059
Puducherry,35.0,23.89543446244477,1,0,585100,40844,15606710,6980.687062040677
Punjab,22.0,45.99802768363652,23,0,14095349,958812,282364073,6802.328910053948
Rajasthan,26.0,41.60109424876031,41,1,43692290,3314270,2553428529,7585.480184261342
Sikkim,2.0,74.36671575846833,1,1,178569,5664,7028410,3171.883137610672
Tamil Nadu,24.0,42.72376322095157,38,2,40264046,2358819,1049292967,5858.375484669375
Telangana,3.0,68.18332139552541,33,14,36479877,2481953,3878232440,6803.622172300636
Tripura,29.0,37.02402000561808,6,0,1072527,50958,20215814,4751.209060471205
Uttar Pradesh,21.0,46.05183403491878,75,1,90563992,7866204,3665306240,8685.796447665425
Uttarakhand,27.0,39.055613220335665,11,1,6582586,488824,243099957,7426.017677551042
West Bengal,19.0,47.7501794381023,23,3,43272502,3631496,1782353009,8392.156293620368
